ID,Word,Definition (A-Rag),Definition (B-non-Rag)
1,kivimki,,
2,people,,
3,agency,,
4,euros,,
5,song,,
6,age,,
7,retirement,,
8,food,,
9,school,,
10,areas,,
11,police,,
12,juuso,,
13,olympics,,
14,venezuela,,
15,year,,
16,language,,
17,party,,
18,win,,
19,chance,,
20,border,,
21,january,,
22,purra,,
23,company,,
24,posti,,
25,parliamentary,,
26,president,,
27,positions,,
28,tax,,
29,health,,
30,temperatures,,
31,social,,
32,contest,,
33,students,,
34,finlands,,
35,country,,
36,court,,
37,finland,,
38,prices,,
39,rydman,,
40,umk,,
41,employee,,
42,entry,,
43,minister,,
44,government,,
45,wolt,,
46,employees,,
47,medal,,
48,test,,
49,finns,,
50,finnish,,
51,Kangaroo,,
52,Sahara,,
53,Tsunami,,
54,Bollywood,,
55,Pineapple,,
56,Pharaoh,,
57,Samurai,,
58,Aztec,,
59,Dinosaurs,,
60,Gladiator,,
61,Spatula,,
62,Shoelace,,
63,Toothpick,,
64,Stapler,,
65,Paperclip,,
66,Hogwarts,,
67,Barbie,,
68,Jedi,,
69,Voldemort,,
70,Pikachu,,
71,UFO,,
72,FBI,,
73,NASA,,
74,YMCA,,
75,KGB,,
76,Puppy,,
77,Goodboy,,
78,Passion fruit,,
79,Lantern Festival,,
80,dy7e8wigyr,,
81,&&&$%^&(*),,
82,1832453654,,
83,dhkauge,,
84,Vampire,,
85,Cactus,,
86,Meteorite,,
87,Avocado,,
88,Teleport,,
89,Levitate,,
90,Respawn,,
91,Tickle,,
92,Yeet,,
93,Oops,,
94,Omnipotent,,
95,Fluffy,,
96,Sore,,
97,Blackpink,,
98,EXO,,
99,Chopsticks,,
100,Jandals,,
