Time,Category,Headline,url,text
15:40,Domestic news,Finland issues new civil defence shelter guidance,https://yle.fi/a/74-20205668,"The country has around 50,500 civil defence shelters that could accommodate about 4.8 million people, according to the interior ministry. Finland's interior ministry on Wednesday issued three new guides of instruction on the maintenance and use of the country's civil defence shelters. Finland has around 50,500 civil defence shelters that could accommodate about 4.8 million people, according to the interior ministry. According to Statistics Finland, the country's population was 5.66 million in November. Responsibility for maintaining the shelters, often found in the cellars of apartment buildings, is up to the owners, which means housing companies or other operators of the property. The ministry said the objectives of boosting the country's resilience to crises, as well as improving preparedness in general, are part of the government programme. The guides are intended to support those owners and operators, according to Pauliina Eskola, Director of Rescue Services, Accident Prevention and International Cooperation. ""Civil defence shelters are an important part of society's resilience and preparedness. Even if shelters do not need to be activated now, they must always be kept in proper condition. Property owners play a role in determining how strong our civil defence system is as a whole,"" Eskola said in a press release. ""In normal conditions, civil defence shelters are used as recreational facilities or storage spaces, for example. Even in everyday use, shelters must be used and serviced in such a way that they remain in working order,"" the ministry explained. It noted that in addition to maintaining the shelters, owners need to ensure that the spaces are regularly inspected, at least every ten years. ""Preparedness is a civic skill: everyone prepares according to their capabilities. Basic knowledge of civil defence shelters, sheltering and preparedness for incidents is useful for everyone,"" Eskola said in the release."
14:31,Education,"Just one-third in Finland optimistic about children's future, survey finds",https://yle.fi/a/74-20205641,"The survey results also reflect data from a survey of foreign language speakers in the country. Only about one-third of people in Finland are optimistic about the future of the country's children and young people. That's according to a survey commissioned by the teachers' union OAJ, carried out by polling firm Taloustutkimus. Among other things, the survey asked people to express their views about issues that affect children and youths. The top concerns included too much screen time, mental health, bullying, the state of public finances, post-graduation job opportunities, as well as the quality and resources of the educational system. The teachers' union chair, Katarina Murto, said ""Finland is at a turning point"". ""It's important for society as a whole, and especially for decision-makers, to stop and consider the [survey's] results. Many of the concerns that overshadow the future of children, young people and all of Finland can be resolved by ensuring a high-quality and sufficiently resourced education system and ensuring that teachers are able to cope and do their jobs as well as possible,"" she said. Respondents were also asked about their concerns regarding the educational system in more detail. It turned out that around 80 percent said they were concerned about the deterioration of basic skills and a decline in learning results. Around seven out of 10 said they were concerned about the funding of education and budgetary cuts to education. They were also worried about academic requirement levels being set too low, and that young students can continue through school without achieving adequate competency. The vast majority of respondents (92%) said they think it is particularly important for the future of children and young people to have access to trained, qualified teachers — as well as receiving a high-quality education throughout their years in school. Just over three-quarters of respondents (77%) said they trust the ability of daycare centres, schools and institutions to build a better future. The union noted that respondents gave schools an overall grade of 9 out of 10 for their appreciation of the teaching profession. The OAJ-commissioned survey was carried out by Taloustutkimus. The respondents, aged 15–74 and live in Finland, answered the survey digitally. The results also reflect data from a separate survey aimed at foreign language speakers in the country. It was carried out in November–December 2025. A total of 2,093 respondents took part."
12:14,Foreign policy,Finland to take part in major Nato exercises in March,https://yle.fi/a/74-20205617,"""It's crucial for Finland that the joint training activities planned by Nato extend directly onto Finnish soil,"" Brigadier General Manu Tuominen tells Yle. Thousands of Nato ally troops are set to arrive in Finland in March for the so-called 'Cold Response' military exercises. The Finnish Army considers the exercise to be the most important drill of the year. It primarily aims to train troops to operate in demanding Arctic conditions. Led by Norway, Cold Response 2026 will be held in the northern areas of Norway, Finland and Sweden. According to Brigadier General Manu Tuominen, Cold Response drills will develop multinational cooperation and prepare troops to respond quickly to changes in the security environment. They also aim to test the functioning of logistics, as well as the movement and assembly of troops. ""It's crucial for Finland that the joint training activities planned by Nato extend directly onto Finnish soil. It strengthens deterrence and defense capabilities,"" Tuominen told Yle. The exercises will involve a total of around 25,000 soldiers from 14 countries. About 7,500 troops will train in Finland, with more than half of them arriving by land or air from allied countries. The exercise is scheduled to be held from 9-20 March. ""The actual training battles will mainly take place in the Rovajärvi training area and in the Sodankylä area, where the Jaeger Brigade's Arctic expertise will be utilised,"" Tuominen explained. The single largest contingent of soldiers, about 2,000, are coming from Sweden, while troops from the US, UK, France and Italy are also set to take part. Most of the US troops will take part in the drills in Norway, but some will be in Finland — and mainly in Rovajärvi, according to Tuominen. About 3,500 Finnish troops will participate in the exercise, 2,000 of whom are reservists. ""The exercise will contribute to cooperation of the Nordic countries and Nato as well as reinforce international cooperation and readiness to react to crises. It will support regional security and improve feasibility of joint defence plans,"" a Finnish Defence Forces (FDF) press release issued earlier this month explained. The training exercise is being led by Nato's new Multi Corps Land Component Command (MCLCC), which started operations in Mikkeli, Finland in the autumn. The roughly 10-person Nato staff at the command centre will receive reinforcements from allied troops during the exercise."
10:36,Health,Finland's mental health crisis helpline gets record number of calls,https://yle.fi/a/74-20205572,"The crisis helpline also offers assistance and support in English for anyone living in Finland. Mieli Mental Health Finland's Crisis Helpline received a record number of calls last year, according to the association. The association said over the course of 2025 its volunteers answered more than 110,000 calls from people looking for help. That was roughly 10,000 more answered calls than the previous year. In total, the helpline received nearly 320,000 calls in 2025, it said. In terms of answered calls, the response rate also increased last year to 35. In 2024, the response rate was 26. Its Crisis Helpline (09 2525 0116) also offers assistance and support in English for anyone living in Finland. It is open on Mondays from 4pm-8pm, and on Thursdays and Fridays from 9am-1pm. The service ""allows you to discuss your thoughts, feelings and situation in life with a crisis worker or a trained volunteer, for example, all kinds of traumas, divorces, issues in the family or drug abuse""."
9:30,Media,"Wednesday's papers: Greenland security, US cloud over Finland, opposition's top position",https://yle.fi/a/74-20205544,"Around 70 percent of the cloud services Europe uses are provided by US tech giants Microsoft, Amazon or Google, according to an IT expert. Europe is prepared to strengthen security in the Arctic and that's why Finland and seven other countries sent liaison officers to Greenland, Finnish Foreign Minister Elina Valtonen (NCP) said, according to tabloid Iltalehti. Valtonen made the statement in Davos, Switzerland at the World Economic Forum (WEF), where she is representing Finland, alongside President Alexander Stubb and Minister for Foreign Trade and Development Ville Tavio (Finns). They joined around 60 heads of state and government, global business leaders and 3,000 participants from 130 countries. But, US President Donald Trump's arrival to the conference on Wednesday was delayed, after Air Force One turned back due to a ""minor electrical issue"", according to the New York Times, among other outlets. The White House said Trump would take another plane to Davos. Trump has said that he plans to hold a meeting at the meeting about the US acquiring Greenland. Trump has said there are risks that China or Russia would simply take over Greenland if the US doesn't. Reacting to Trump's repeated annexation threats, Denmark, Finland, France, Germany, the UK, Sweden, Norway and the Netherlands sent military personnel to Greenland as part of ""Operation Arctic Endurance"", a Danish-led exercise. For its part, Finland sent two officers to Greenland, but currently does not plan to send more military personnel. That move sparked Trump to threaten those eight countries with punitive tariffs. But according to Valtonen, a trade war would harm people on both sides of the Atlantic. She said European countries are prepared to strengthen Arctic security, which is why the officers were sent there, and that the notion of Chinese or Russian troops swarming Greenland was a ""hypothetical threat"", according to Iltalehti. Among other things, the increasingly sticky issue has caused concerns about the future of Nato. Despite this, Valtonen said she believes the dispute can be resolved through diplomacy and boosting defence in the region. She also sent a clear message to the US. ""I hope this is a moment when Americans will think about which side of history they want to be on,"" she said, according to the paper. Amid the hitherto diplomatic crisis, security expert and non-fiction author Petteri Järvinen suggested that Trump could effectively shut down Finland's access to the internet within an hour, according to another Iltalehti article on Wednesday. According to Järvinen, around 70 percent of the cloud services Europe uses are provided by US tech giants Microsoft, Amazon or Google. ""Finland would certainly close down if Trump could shut everything down with some kind of executive order,"" Järvinen told the paper. Being cut-off from American cloud service would cause widespread problems across ""every sector of society,"" the paper suggested — from government to healthcare. Technologically, such a scenario would, Järvinen said, take Europe back to the 1990s. As a solution to such a possibility, he advised that Europe and Finland become more self-sufficient technologically. The paper noted that the tech aspect of the increased tensions is being noted in other countries. For example, in Sweden, an editorial in the Expressen newspaper suggested that Trump could ""shut down Sweden in an hour"". In decidedly domestic news, Helsingin Sanomat's new political party support survey found the opposition Social Democrats are still most popular. Twenty five percent of respondents said that if a parliamentary election were to be held right now, they would vote for the SDP. While there were subtle differences to its survey in December, this month, support for Prime Minister Petteri Orpo's National Coalition Party (18%) reached its lowest point since the coalition government's term began, the paper noted. Support for the Finns Party — the poll's fourth most popular and the government's second-largest coalition — was up very slightly (0.3 percentage points). But percentage-wise the biggest change was seen in support for two opposition parties. The Left Alliance saw support rise by half a percentage point (to 10% support) while the Centre Party saw half a point decline (to 14.3%). HS' poll was conducted by Verian, and queried just over 4,000 people from 15 December 2025 - 19 January, via an online survey."
20.1.,Non-Discrimination Ombudsman,Non-Discrimination Ombudsman calls for stricter penalties for intimate partner violence,https://yle.fi/a/74-20205484,"Violence against a current or former partner should always carry increased criminal liability, according to the Non-Discrimination Ombudsman. Finland's Non-Discrimination Ombudsman has called for the country to improve the legal protections for victims of intimate partner violence. An investigation by the National Prosecution Authority examined how district courts handle domestic violence cases. Its review found that during sentencing in more than half of the cases, judges did not take into account that the perpetrators and victims had a close relationship. But that is not in line with the Istanbul Convention. That is a Council of Europe treaty stating that, among other things, violent crimes against women and domestic violence are aggravated crimes that should be considered more serious in the eyes of the law — and lead to more severe penalties. According to the Non-Discrimination Ombudsman, Rainer Hiltunen, the situation reflects that there is a ""clear gap"" in the criminal code. The Ombudsman reviewed 80 domestic violence criminal cases heard by district courts across the country. It was found that the majority involved violence directed towards a partner — and the perpetrator was usually male. Around 94 percent of the reviewed cases resulted in convictions. Most often the perpetrators were issued a fine. It was found that in 55 percent of cases examined by the Ombudsman, the district courts' sentencing justifications did not mention that the violence occurred between people in a close relationship. In 45 percent of the cases, the sentencing justifications did note that victims and perpetrators were in a relationship. But such scenarios rarely led to harsher punishments. According to the Non-Discrimination Ombudsman, violence against a current or former partner should always carry increased criminal liability — compared to violence directed towards a stranger, for example. ""There is a clear gap in the criminal code that must be addressed. The aggravating circumstances mentioned in the Istanbul Convention must be clearly prescribed in the criminal code,"" Hiltunen said in a press release."
20.1.,Domestic news,Finland not sending more troops to Greenland,https://yle.fi/a/74-20205400,"Finland's immediate focus is on easing the pressure caused by America's demands over Greenland, says Alexander Stubb. It does not appear Finland is preparing to send more soldiers to Greenland. Two Finnish officers are in Greenland assessing how Finland might best contribute to broader Arctic defence, according to Heikki Autto, chair of parliament's defence committee. For the time being, no further troops are planned, he said on Tuesday. ""It is important that the United States take part in the exercise [in Greenland]. Under their bilateral agreement, Denmark and the United States are responsible for Greenland's security."" US President Donald Trump has said that the United States intends to raise the question of acquiring Greenland at the World Economic Forum in Davos. European leaders have consistently rejected Trump's attempts to acquire Greenland, which belongs to Denmark. Trump has threatened eight European countries, including Finland, with additional tariffs should the United States fail to secure the territory. According to President Alexander Stubb, the use of tariff threats is unacceptable. Stubb told Finnish media in Davos that, of all recent international crises, the Greenland issue poses the greatest challenge for Finland. As a self-governing territory in the Arctic, it's especially close to Finnish interests. ""There's a lot up in the air at once with Ukraine, the Middle East, Iran and Venezuela. Greenland is the most difficult for us, because it concerns a close ally, Denmark, and fundamental issues like territorial integrity, sovereignty and self-determination,"" he explained. At the same time, he sought to reassure domestic audiences that Finland's security situation remains stable and that the country is ""well prepared for anything."" Stubb, meanwhile, said there was nothing special about recently leaked messages he has conducted with Trump, together with Norway's prime minister, Jonas Gahr Støre. According to Stubb, Finland's immediate priority is to defuse the pressure that the US demands over Greenland has injected into international relations."
20.1.,Economy,OP Pohjola starts cashing out locked-down real estate funds,https://yle.fi/a/74-20205392,"The financial group said it is able to redeem the funds due to glimpses of recovery in the real estate market. OP Pohjola is opening two of its real estate funds for redemption, according to the Finnish financial giant. Many small-time investors have been waiting for such an announcement, as the bank had suspended investor cash-outs of real estate funds more than a year ago, due to weak sales in the sector. OP was among a number of banks that suspended redemptions of real estate funds. According to OP, it is now able to redeem the funds due to glimpses of recovery in the real estate market. OP said that its Public Services Real Estate Fund and Rental Yield Fund would be opened for redemption on Tuesday. ""We see that the real estate market situation has now stabilised to the point where we can start fund subscriptions and redemptions,"" OP said in a press release."
20.1.,Domestic news,Stockmann customer still confused about €10k charge over Christmas,https://yle.fi/a/74-20205352,"Henrika Mercadante returned a leaky bottle of body spray for a 26-euro refund, but ended up being charged more than 10,000 euros and losing access to her bank account. A couple of days before Christmas, Henrika Mercadante, who lives in the capital area suburb of Kauniainen, went to buy a last-minute gift at the Stockmann department store in Helsinki. However, after that holiday shopping errand, her bank account had a nearly 10,500-euro charge on it for things she did not buy — days later her bank cards stopped working entirely. The last-minute gift was a bottle of body mist for which she paid 26.50 euros. But after the purchase Mercadante noticed that half of the bottle's contents had leaked out, so she brought it back to the historic downtown store to return it. Instead of refunding the purchase, Mercadante noticed the cashier had somehow mistakenly charged her card for an entire batch of bottles — a total of €10,467.50. ""I wasn't really in the right mood at the time, but I should've thanked them for the Christmas gift,"" Mercadante quipped, according to Svenska Yle, the public broadcaster's Swedish-language news unit. The store told her that the matter would be sorted out over the holidays. But each time she checked her account, the huge charge was still there. Later, a couple of days before New Year's Eve, as she was grocery shopping she found that none of her bank cards worked anymore. When she got home, Mercadante checked her account again, seeing that her account showed a negative 8,000 euros, even though there should have been around 2,000 euros in it — and that 10,000-euro charge was the culprit. A single parent, Mercadante was planning to hold a New Year's Eve party, but she said that became challenging without access to her account. She made another trip to Stockmann, and showed staff the receipt showing the massive charge. The department store handed her a gift card and some cash to cover her New Year's party costs — yet how the mistake was made remained a mystery. Mercadante contacted her bank, Nordea, about her blocked card and was told that she needed to contact Stockmann about the charge. The mistake was remedied on 5 January, when her funds were returned. But before things were made right, Mercadante said she had to cancel a trip to Sweden with her daughter because of the situation. According to Stockmann's commercial planning and sales support unit chief, Heidi Dahlberg, the incident was a question of human error. She said there were errors made by both Stockmann and its payment intermediary which led to the large sum being deducted from the customer's account, rather than refunded. ""Then it was the Christmas holidays, which meant the correction took an unreasonably long time,"" Dahlberg told Svenska Yle, adding that the company has reviewed its procedures and will do the same with its partners. ""We are sincerely sorry and regret any inconvenience and concern we have caused the customer. We will do our utmost to ensure that it does not happen again,"" Dahlberg said, describing the mistakes as an unusual, one-time occurrence. ""I've never experienced anything like this. It's very important that customers can trust us in the future,"" Dahlberg said. The Finnish Financial Ombudsman Bureau (Fine) offers guidance to consumers dealing with banking problems. According to Sasu Heino, an expert at the bureau, Fine gets about 20-30 complaints about erroneous bank card charges every year. But Heino said he has never heard of a mistaken charge as large as the one Mercadante dealt with. Mercadante, meanwhile, is still waiting for an explanation from Nordea about why the huge charge was able to go through. She is particularly interested in why it happened without direct access to her bank card, and if stores are able to charge debit accounts without the use of a card reader. Her bank, Nordea, declined a request for an interview about the matter, saying that it does not comment on individual cases. However, in an email, Nordea's card payment unit business manager Paula Kvist noted that it is the seller who is responsible for refunding incorrect charges. ""If the customer's account has been overdrawn, Nordea may, according to the terms of the agreement, temporarily block card use until the amount missing from the account has been refunded,"" Kvist explained in the email. According to Nordea, card purchases in stores are immediately approved, but the actual funds are moved later. That process can take up to 10-30 days, depending on when the shop sends the debit information to the bank. That means the bank is unable to cancel erroneous debit charges by sellers, according to Nordea. Nordea said that a bank can stop payment transactions in order to ensure that customers are aware of them, if there are suspicions of fraud, for example. But the bank did not offer comment about what factors trigger such payment interruptions. Mercadante said the experience raises questions about how card payments work. ""I wasn't aware that companies could empty a customer's account like this,"" she said."
20.1.,Media,"Tuesday's papers: Placating Trump, living rent-free, and the end of the line",https://yle.fi/a/74-20205291,"By the summer, Finland will switch off its last remaining landlines. Helsingin Sanomat's most-read story is a scathing interview with Italian foreign policy researcher Nathalie Tocci. It takes a less-than-flattering look at Finns and other Europeans putting all their eggs in Donald Trump's basket. HS asked Tocci for her thoughts on Nato's mutual defence clause, as the Finnish political leadership insists that Article 5 remains fully operative and that the country enjoys firm security guarantees from the United States. ""I don't want to be disrespectful, but it sounds pathetic,"" she told the paper. Tocci also did not mince her words regarding president Alexander Stubb's 'golf diplomacy' with the American president. ""I find it deeply embarrassing,"" she told HS, though adding that 'Alex' is a close friend of hers. ""Equally mortifying is Italy's prime minister, Giorgia Meloni, smiling as Trump compliments her looks. No less undignified was Nato's secretary-general, Mark Rutte, calling Trump 'daddy', or Germany's chancellor, Friedrich Merz, gifting him his grandfather's birth certificate."" Magnus von Knorring is offering one of his houses in Bromarv rent-free for a year. The aim is simple enough: to draw attention to an area few notice and maybe persuade someone to stay for good, Hufvudstadsbladet explains. The house on offer provides roughly 100 square metres of living space. It has two bedrooms, a living room and a kitchen. There are no strict requirements for those wishing to move in rent-free, HBL writes, but preference would be given to younger occupants who want to give to the community. The idea of offering a house rent-free for a year did not originate with von Knorring himself, but with Bromarv's village council, which aims to raise the profile of the area and, in time, encourage newcomers to the village, located near Tammisaari. Finland's fixed-line telephones are on the verge of being consigned to history. After more than two centuries, the era will come to an end when Elisa retires its landline network on 30 June, according to Iltalehti. The change affects both households and businesses. Household customers impacted by the shutdown will be contacted by letter at the end of April and offered replacement services. Landlines were largely displaced by mobile phones in the early 2000s. However, some people may still find that they remember the fixed-line numbers of family members and friends, long after the phones themselves have fallen silent."
