Time,Category,Headline,Full_Text,URL,Sentiment_analysis,Passes_treshold
27.1. 10:01,All Points North,News,"The prime minister, the public health authority and two-thirds of Finns are in favour of banning or restricting the use of social media by under-15s, but what's your view? There is growing support in Finland for the introduction of an Australia-style ban on the use of social media platforms by children, specifically those aged under 15 years old. Prime Minister Petteri Orpo (NCP) expressed his backing for such a move earlier this month, public health authority THL has updated its recommendations on kids' use of social media last week, while a poll this week found two-thirds of Finns support a ban. But what do you think? Should Finland ban kids from using social media? You can send us your thoughts and comments via WhatsApp on +358 44 421 0909 or email us on allpointsnorth@yle.fi.",https://yle.fi/a/74-20206619,"[{'label': '1 star', 'score': 0.35302889347076416}]",0
27.1. 10:01,All Points North,News,"The prime minister, the public health authority and two-thirds of Finns are in favour of banning or restricting the use of social media by under-15s, but what's your view? There is growing support in Finland for the introduction of an Australia-style ban on the use of social media platforms by children, specifically those aged under 15 years old. Prime Minister Petteri Orpo (NCP) expressed his backing for such a move earlier this month, public health authority THL has updated its recommendations on kids' use of social media last week, while a poll this week found two-thirds of Finns support a ban. But what do you think? Should Finland ban kids from using social media? You can send us your thoughts and comments via WhatsApp on +358 44 421 0909 or email us on allpointsnorth@yle.fi.",https://yle.fi/a/74-20206619#comments,"[{'label': '1 star', 'score': 0.35302889347076416}]",0
11.2. 11:16,All Points North,News,"A man was seriously injured after being trapped under a Metro train. The Helsinki Metro line was suspended between Helsinki University and Ruoholahti for about an hour on Wednesday morning following an incident on the tracks. According to reports in the immediate aftermath of the incident, a person suffered a serious injury in the vicinity of the Helsinki Central Station. Several units from the Helsinki Rescue Department were dispatched to the scene shortly after 10am. The department confirmed to reporters about 20 minutes later that a casualty had occurred, and that responsibility for providing further information about the incident would be passed to Helsinki police. Helsingin Sanomat reported on Wednesday afternoon, citing a statement from Helsinki police, that an adult male was seriously injured after becoming trapped under a Metro train. The daily added that no crime is suspected in relation to the incident. Police are continuing their investigation. Article updated at 13:51 on 11.2.2026 to add details from Helsingin Sanomat article.",https://yle.fi/a/74-20209603,"[{'label': '1 star', 'score': 0.44393086433410645}]",0
10.2. 15:40,All Points North,News,"In Finland, a consumer's options in a bankruptcy situation depend largely on how they paid for their purchase. Indoor Group, the owner of Finnish furniture retailers Asko and Sotka, filed for bankruptcy on Monday after a prolonged period of financial difficulties. The filing has left many Asko and Sotka customers wondering about their consumer rights, and whether they will get the products they paid for or their money back. According to Juha Beurling-Pomoell, Secretary General of the Consumers' Union of Finland, a consumer's options in a bankruptcy situation depend largely on how they paid for their purchase. If, for example, the payment was made by credit card and the product has not been delivered, the consumer can contact their credit card company directly and request a refund. Credit card firms can usually refund the money quickly, Beurling-Pomoell noted, whereas consumers who paid by debit card must try to claim their money back from the bankruptcy estate. ""Unfortunately, [reclaiming money from a bankruptcy estate] is usually a very long and difficult process. Consumers are generally in a relatively weak position when a company goes bankrupt,"" he said. Beurling-Pomoell added that consumers should always consider using a credit card when purchasing a product that they do not immediately receive. ""The risk then lies with the credit card company that issued the card,"" he said. People holding an unused Asko or Sotka gift card may also be left disappointed by the parent company's bankruptcy, as the estate ""has a right to refuse"" to honour the voucher. A spokesperson for the Finnish Competition and Consumer Authority meanwhile noted that while it cannot assist customers in bankruptcy situations, the authority has compiled guidelines on how consumers can take action in those kinds of situations.",https://yle.fi/a/74-20209419,"[{'label': '1 star', 'score': 0.3928663432598114}]",0
11.2. 12:10,All Points North,News,"Hunters would have been allowed to shoot up to 100 wolves after a controversial change to Finland's wildlife laws took effect on New Year's Day. Finland's quota-based wolf hunting season has ended, the Finnish Wildlife Agency announced on Wednesday morning. Hunters shot 86 of the allowed quota of 100 wolves. The season began on New Year's Day following a controversial update to the country's Hunting Act. Wolves in Finland had previously enjoyed year-round protection from hunters, but the legal reform allowed the animals to be culled during the period from 1 January to 10 February. Finland's parliament voted last year in favour of lifting the year-round ban, which has mostly been in effect since 1973, due to concerns about the growing numbers of wolves in certain territories. According to figures from the Wildlife Agency, a total of 82 wolves were killed across 15 different designated hunting areas during the 2026 hunting season. However, Finland's Natural Resources Institute (acronymed as Luke in Finnish) is still analysing samples, meaning that figure is subject to change. There were about 430 wolves in Finland in 2024, according to Luke's estimates. Finland’s independent Council of Regulatory Impact Analysis sharply criticised the government's wolf-hunting legislation last year, arguing the process bypassed regular procedure and failed to carry out an impact analysis. Yle News reporter Matt Schilke explains the background to the introduction of the new law.",https://yle.fi/a/74-20209619,"[{'label': '1 star', 'score': 0.31964975595474243}]",0
10.2. 12:15,All Points North,News,"The scores reflect the views of experts and businesspeople, not the public, according to Transparency International. Finland has ranked second in the global Corruption Perceptions Index (CPI) for 2025, according to Transparency International, which compiles the index. With a score of 88, Finland was led by its Nordic neighbour Denmark (89), and followed by Singapore (84). Finland's score was unchanged from last year. The rankings are based on perceived levels of public sector corruption on a scale of zero (highly corrupt) to 100 (very clean). At the other end of the spectrum, the most corruption was cited in Venezuela (10), Somalia (9) and South Sudan (9). In a press release on Tuesday, the group explained that the index is based on scores of 182 countries and territories around the world, ""using data from 13 external sources, including the World Bank, World Economic Forum, private risk and consulting companies, think tanks and others"". ""The scores reflect the views of experts and businesspeople, not the public,"" TI noted. The release added that overall, corruption seems to be on the rise. Just 10 years ago, a dozen countries scored above 80 points — meaning they were nearly ""clean"". However this year's index found just five countries in such a position. ""While 31 countries have significantly reduced their corruption levels since 2012, the rest are failing to tackle the problem – they have stayed stagnant or got worse during the same period,"" Transparency International's CPI 2025 page explained. The global average has fallen to a new low of 42, while more than two-thirds of countries score below 50. And people are paying the price, as corruption ""leads to under-funded hospitals, unbuilt flood defences and blights the hopes and dreams of young people,"" it continued. The organisation voiced concerns about developments in the United States, which placed 29th in the ranking. ""The United States (with a score of 64) sustained its downward slide to its lowest-ever score. While the full impact of 2025 developments are not yet reflected, recent actions, such as targeting independent voices and undermining judicial independence, raise serious concerns,"" the group said.",https://yle.fi/a/74-20209365,"[{'label': '1 star', 'score': 0.3924640715122223}]",0
10.2. 10:42,All Points North,News,"The furniture retailer has warned customers to stop using the affected lamps immediately — and to tell others about the recall if they have given away or sold the items. Swedish home furnishing giant Ikea has warned customers to stop using some of its Nymåne-branded light fixtures, due to the risk of electrical shock. The company advised people who own the affected models to stop using them and to contact Ikea's customer service department. The shock risk was caused by a manufacturing error, according to the company. The recall affects the following models, if they have manufacturing dates (numbers shown in week-year format) from: 2217 to 2520 — with a supplier ID number of 23241: The lamp fixtures manufactured before or after the affected period — or ones with a different ID number — are not subject to the recall, Ikea said. The date stamp on the wall and reading lamp are on a sticker inside the lamp shade visible when there is no bulb in the unit. In the double wall lamp, the date stamp and supplier ID number can be found on stickers on the back of the fixture. Ikea also encouraged customers to warn others about the recall, especially if they have gifted, sold or loaned the items.",https://yle.fi/a/74-20209329,"[{'label': '1 star', 'score': 0.5052670836448669}]",0
5.2.2024 9:34,Presidential election,News,"The rate of advance voting in the second round has outpaced the first round, which itself set a new record. Advance voting in the second round of Finland's presidential election climbed to 32.8 percent by the time polling stations closed on Sunday evening. This means that 1.4 million people have so far cast their ballots in the second round run-off between National Coalition Party candidate Alexander Stubb and Pekka Haavisto, who is backed by the Greens and a voters' association. A total of 168,800 people, or nearly four percent of the electorate, voted on Sunday. Advance voting for the second round opened last Wednesday, and will close this Tuesday. Election day proper is on Sunday 11 February. The rate of advance voting in the second round has outperformed the first round, which itself set a new record. Regionally, Pirkanmaa — which includes the city of Tampere — has seen the highest rate of advance voting, at 37.1 percent, while the Åland islands has reported the lowest, at 16.6 percent. The All Points North podcast this week asks what differentiates the two candidates vying to become Finland's next president. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. The latest on the Finnish presidential election — including candidate profiles, a very simple guide and Yle's election compass — is available here. Users with an Yle ID can leave comments on our news stories. You can create your Yle ID via this link. Our guidelines on commenting and moderation are explained here.",https://yle.fi/a/74-20072941,"[{'label': '1 star', 'score': 0.24339641630649567}]",0
5.2.2024 9:34,Presidential election,News,"The rate of advance voting in the second round has outpaced the first round, which itself set a new record. Advance voting in the second round of Finland's presidential election climbed to 32.8 percent by the time polling stations closed on Sunday evening. This means that 1.4 million people have so far cast their ballots in the second round run-off between National Coalition Party candidate Alexander Stubb and Pekka Haavisto, who is backed by the Greens and a voters' association. A total of 168,800 people, or nearly four percent of the electorate, voted on Sunday. Advance voting for the second round opened last Wednesday, and will close this Tuesday. Election day proper is on Sunday 11 February. The rate of advance voting in the second round has outperformed the first round, which itself set a new record. Regionally, Pirkanmaa — which includes the city of Tampere — has seen the highest rate of advance voting, at 37.1 percent, while the Åland islands has reported the lowest, at 16.6 percent. The All Points North podcast this week asks what differentiates the two candidates vying to become Finland's next president. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. The latest on the Finnish presidential election — including candidate profiles, a very simple guide and Yle's election compass — is available here. Users with an Yle ID can leave comments on our news stories. You can create your Yle ID via this link. Our guidelines on commenting and moderation are explained here.",https://yle.fi/a/74-20072941#comments,"[{'label': '1 star', 'score': 0.24339641630649567}]",0
25.8. 15:47,Sport,News,"Human excrement has been found in the swimming pool six times since the beginning of July, and officials believe that the incidents have been intentional. The City of Oulu has filed a criminal complaint with police over repeated defecation in the water at the Linnanmaa swimming pool. The criminal complaint was first reported by the local daily, Kaleva. Erkko Korpela, who manages the city’s swimming pools, confirmed the filing to Yle. He said there is a strong suspicion that these incidents have been the result of intentional actions, and not accidental. ""Children’s accidents have been ruled out. That has happened in the past. This clearly involves an adult,"" he told Yle. Human excrement has been found in the swimming pool six times since the beginning of July, and the main pool has had to be closed five times. The facility only opened earlier this year. City officials have decided to step up supervision of the swimming pool in northern Oulu as they attempt to identify the serial pooper. For example, Korpela said that one additional swimming lifeguard will be added to the pool per shift. In addition, extra staff will be needed to check the swimming pool's CCTV footage. ""That is an activity covered by the Personal Data Protection Act, so not just anyone can watch those recordings,"" Korpela pointed out. He added the incidents have caused a lot of extra work, planning and recruitment for the city’s sports services division, as well as financial losses. ""Surely some customers will vote with their feet and go elsewhere. We have received worried, surprised and even angry comments from customers,"" he said. There was also a series of incidents in Oulu in 2018, where poop was found several times in a row in the Raksila swimming pool in the centre of the city, which has now been nearly demolished. At the time, officials decided that this was done as a malicious prank. A suspect was identified but not apprehended.",https://yle.fi/a/74-20179254,"[{'label': '1 star', 'score': 0.3770163953304291}]",0
