Time,Category,Headline,Full_Text,URL,Sentiment_analysis,Passes_treshold
9.1.2025 7:00,All Points North,Ratkaise Sanapyramidi!,"Yhdistä ryhmiksi toisiinsa liittyvät sanat. Uusi peli julkaistaan joka aamu – tilaa ilmoitukset Yle-sovelluksesta. Osa artikkelin sisällöstä ei ole välttämättä saavutettavissa esimerkiksi ruudunlukuohjelmalla. Tilaa itsellesi Sanapyramidin ilmoitukset Yle-sovelluksesta, niin saat päivittäin tiedon uusista Sanapyramidi-pulmista. Sanapyramidissa pitää löytää neljä sanaryhmää, jotka muodostuvat 2, 3, 4 tai 5 sanasta. Jokaisen ryhmän sanoilla on joku yhdistävä tekijä. Pyramidin huipuksi tulee sana, joka ei kuulu mihinkään ryhmään. Esimerkkejä:
MATTI, TOIVO, YRJÖ ERKKI– miesten nimiä
TIE, KATU, KUJA – kulkuväyliä Valitse klikkaamalla sanat, jotka mielestäsi kuuluvat samaan ryhmään eli samaan pyramidin kerrokseen. Jos haluat perua jonkun valintasi, klikkaa ruutua uudestaan. Kun yksi rivi on valmis, paina Tarkista. Jos rivi on oikea, se asettuu paikalleen pyramidissa. Voit valita ryhmät missä tahansa järjestyksessä. Neljän väärän vastauksen jälkeen peli päättyy. Jos haluat apua, niin klikkaamalla Vihjettä saat ensimmäisen sanan alimmasta ratkaisemattomasta rivistä. Vihjeen saa vain viiden, neljän tai kolmen sanan riville. Huom! Myös vihjeeksi saatu sana täytyy erikseen klikata, kun valitset sanoja. Uusi Sanapyramidi julkaistaan joka aamu kello 6. Pelin on toteuttanut Yle Oppiminen.
Tekijät: Mikko Lehtola, Raili Löyttyniemi, Antti Saarenpää ja Anna-Leena Lappalainen Ruotsinkielinen sanapyramidi (Ordpyramiden)",https://yle.fi/a/74-20131998,"[{'label': '4 stars', 'score': 0.3326663374900818}]",1
9.2. 10:41,All Points North,News,"What would you like to hear on the All Points North podcast? Yle News' All Points North podcast has been running for nearly a decade, or over 300 episodes, and throughout that time on air our listeners have consistently proved to be our best source of inspiration and ideas. We are now working on updating and improving APN, and we would love your input on what we should do — or not do. Please share your feedback via this link to the survey. The survey takes about 5 minutes to complete and your answers will be anonymous, unless you specifically choose to leave your contact details.",https://yle.fi/a/74-20209097,"[{'label': '5 stars', 'score': 0.2915981113910675}]",1
30.1. 16:00,All Points North,News,"The All Points North podcast visits a school, examines the research, and hears an on-the-ground report from Australia in search of answers to whether Finland should ban social media for children. There is a growing groundswell of support in Finland to bring in a ban on the use of social media platforms by children, specifically those aged under 15. The calls have increased in volume in the wake of a similar move by Australia, which last year became the first country in the world to ban kids from accessing social media. In Finland, Prime Minister Petteri Orpo (NCP) has expressed his backing for a ban, saying he is concerned in particular about the ""lack of physical activity among children and young people"". Public health authority THL has also updated its recommendations on kids' use of social media, while a poll this week found two-thirds of Finns support a ban. ""We see a rise in self-harm and especially eating disorders. We see a big separation in the values of young girls and boys, which is also a big problem in society,"" researcher Silja Kosola tells APN. We also hear from Clare Armstrong, a journalist with Australia's public service broadcaster ABC, about how the ban has been received in Australia since coming into effect on 10 December. ""This happened at the start of our summer holidays, so most Australian children have just had 6 weeks of summer holidays that coincided with the first 6 weeks of this ban, and I find it really interesting reading these stories that kids are saying, you know what, I actually read books this summer or I hung out with my friends more, or I started a hobby,"" Armstrong explains. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. In addition, we wrap up the rest of the week's news from Finland, and give listeners a tip about what to watch on Yle Areena. Ronan Browne produced and presented this episode of All Points North. The sound engineer was Joonatan Kotila. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi.",https://yle.fi/a/74-20207418,"[{'label': '4 stars', 'score': 0.3933817744255066}]",1
30.12. 10:10,All Points North,News,"Over the past year, our listeners shared personal stories, day-to-day frustrations, and concerns about the future. Yle News' All Points North podcast covered a wide range of topics during 2025, with listeners taking on a much more active and participatory role in the weekly episodes. Our call-outs about subjects such as accessing mental health support, multicultural parenting, and Finland's best place to live regularly yielded hundreds of replies — and helped us bring those stories to the APN audience. One very popular episode featured the people who had moved to Finland from abroad because they fell in love with a Finn — but also discovered that the path is not always smooth. ""The real challenges they meet have to do with how their identity changes once they're here in Finland. So, if they meet a partner in some other location — and even if they both thoughtfully choose to move to Finland — probably neither one of them realise how much their identity is going to change once they come to a different society,"" marriage and family therapist Therese Sprinkel told us back in October. We also heard a diverse range of opinions on that most perennial of topics for immigrants in Finland: learning the Finnish language. ""I think the general feeling from a lot of us is why or how are we going to invest in a language that takes so much, so much out of you when you don't even know if you will be living in the country in the near future,"" Mariana said. Her comment succinctly summarised the frustrations that many immigrants were feeling about life in Finland during 2025, especially in light of the various legislative changes the government introduced around permanent residence permits, obtaining Finnish citizenship, and the controversial three-month rule. ""I feel that every new law and rule that they've made recently surrounding integration of foreigners and citizenship have been made to make it harder for us, more difficult, and it's already difficult, and I feel that we're just not wanted,"" Bronwyn Vainionpää, a joint citizen of Australia and New Zealand, told us in November. We were also very much on the move during 2025, from the rugby fields of Tampere to the 'Blue Zone' on Finland's west coast to daily life on a seafortress.",https://yle.fi/a/74-20201642,"[{'label': '4 stars', 'score': 0.42725592851638794}]",1
19.12. 15:53,All Points North,News,"Join us for a month-by-month journey through Finland's year in news. Over the past 12 months, our APN listeners have become a much more active and integral part of our weekly podcast. You've told us about the reasons you moved to Finland, the benefits and challenges of raising a family here, and your concerns about the future. In this review of 2025, we look back at the highlights — and lowlights — of life in Finland, in particular from the perspective of people who have moved here from abroad. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. Ronan Browne produced and presented this episode of All Points North. The sound engineer was Panu Willman. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi.",https://yle.fi/a/74-20200680,"[{'label': '4 stars', 'score': 0.44361546635627747}]",1
21.11. 15:56,All Points North,News,"Suomenlinna is one of the few places in the world where people live inside history. Step aboard the ferry as we hear from people who call the island home. If you've ever visited Helsinki, chances are you've been to Suomenlinna island. While there, you might have noticed signs urging visitors to be courteous because locals live there. Around 800 people live on Suomenlinna year-round, but what is everyday life like on the island? In this episode of All Points North, we speak to locals living at the Unesco World Heritage site and find out what life looks like here after the last visitor-filled ferry heads back to the mainland. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. ""Time seems to run differently in Suomenlinna. The whole atmosphere is different from the mainland. There's much less rush,"" said island resident Ilkka Kilpeläinen, a journalist at Yle's Finnish sign language news team. Life there is much like being in a small village. ""I think the worst times were when you're a teenager on the island and you come home a bit late, you might be a bit drunk or something, and then you've got all of your neighbours and all of your friends' parents on the ferry,"" said Viivi Kallio-Meyers, who grew up in Suomenlinna. For a weekly roundup of the top stories from Finland, as well as an Yle Areena tip, sign up for Yle's newsletter with your Yle ID. Matthew Schilke produced and presented this episode of All Points North. The sound engineer was Katri Koivula. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi.",https://yle.fi/a/74-20195404,"[{'label': '4 stars', 'score': 0.384706050157547}]",1
14.11. 15:24,All Points North,News,"Falling prices, nervous sellers and hopeful buyers — this week All Points North takes a closer look at Finland's shifting housing market. After years of falling prices in Finland, sales of used apartments are finally starting to climb, even as selling times stretch and prices stay flat. For some, it's a worrying sign. But for others, it's a long-awaited opportunity. As borrowing costs stabilise and inflation cools, APN asks if the real estate market is finally perking up. In this week's episode, we talk to first-time buyers, anxious homeowners, and housing experts to find out what's really happening in Finland's property market. We also unpack some Finnish housing quirks, from state-backed mortgages and notorious pipe renovations to the rise of all-digital home buying. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. For a weekly roundup of the top stories from Finland, as well as an Yle Areena tip, sign up for Yle's newsletter with your Yle ID. Zena Iovino produced and presented this episode of All Points North. The sound engineer was Panu Willman. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi.",https://yle.fi/a/74-20194023,"[{'label': '4 stars', 'score': 0.4329786002635956}]",1
14.11. 15:24,All Points North,News,"Falling prices, nervous sellers and hopeful buyers — this week All Points North takes a closer look at Finland's shifting housing market. After years of falling prices in Finland, sales of used apartments are finally starting to climb, even as selling times stretch and prices stay flat. For some, it's a worrying sign. But for others, it's a long-awaited opportunity. As borrowing costs stabilise and inflation cools, APN asks if the real estate market is finally perking up. In this week's episode, we talk to first-time buyers, anxious homeowners, and housing experts to find out what's really happening in Finland's property market. We also unpack some Finnish housing quirks, from state-backed mortgages and notorious pipe renovations to the rise of all-digital home buying. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. For a weekly roundup of the top stories from Finland, as well as an Yle Areena tip, sign up for Yle's newsletter with your Yle ID. Zena Iovino produced and presented this episode of All Points North. The sound engineer was Panu Willman. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi.",https://yle.fi/a/74-20194023#comments,"[{'label': '4 stars', 'score': 0.4329786002635956}]",1
11.11. 09:48,All Points North,News,"This week, the All Points North podcast is taking a closer look at Finland's housing market. More old stock apartments changed hands in October than at any time in the past three years, according to an industry group. Sales of used homes are picking up for the second month in a row, and in the Helsinki area, they're up nearly 10 percent from last year. This seems like good news, but prices still aren't moving up much. Selling times are longer than ever, and there are plenty of properties on the market, which is keeping prices in check. If you're a homeowner, the slowdown might be worrying. But if you're renting, maybe it's finally a reason to hope. What's your experience been? Have you bought or sold a home recently, or are you holding off, waiting for the right deal? We would love to hear your story: are you trying to sell, looking to buy or just watching the market from the sidelines? Drop us a message and tell us what the housing market looks like from where you are. Let us know in the comments below, and if you'd like us to get in touch, feel free to drop us a line at allpointsnorth@yle.fi. Users with an Yle ID can leave comments on our news stories. You can create your Yle ID via this link. Our guidelines on commenting and moderation are explained here.",https://yle.fi/a/74-20193315,"[{'label': '4 stars', 'score': 0.43265363574028015}]",1
11.11. 09:48,All Points North,News,"This week, the All Points North podcast is taking a closer look at Finland's housing market. More old stock apartments changed hands in October than at any time in the past three years, according to an industry group. Sales of used homes are picking up for the second month in a row, and in the Helsinki area, they're up nearly 10 percent from last year. This seems like good news, but prices still aren't moving up much. Selling times are longer than ever, and there are plenty of properties on the market, which is keeping prices in check. If you're a homeowner, the slowdown might be worrying. But if you're renting, maybe it's finally a reason to hope. What's your experience been? Have you bought or sold a home recently, or are you holding off, waiting for the right deal? We would love to hear your story: are you trying to sell, looking to buy or just watching the market from the sidelines? Drop us a message and tell us what the housing market looks like from where you are. Let us know in the comments below, and if you'd like us to get in touch, feel free to drop us a line at allpointsnorth@yle.fi. Users with an Yle ID can leave comments on our news stories. You can create your Yle ID via this link. Our guidelines on commenting and moderation are explained here.",https://yle.fi/a/74-20193315#comments,"[{'label': '4 stars', 'score': 0.43265363574028015}]",1
