Time,Category,Headline,Full_Text,URL,Sentiment,Passes_threshold
2026-02-16 14:05:05,All Points North,"""What is enough?"" — Rising food prices loom as Finland moves to curb supermarket private labels","A bill to help food producers could drive up prices that have already surged in recent years. People in Finland may soon feel the pinch at the grocery checkout. The government is proposing legislation that would limit the sale and production of supermarket own-brand products. These are popular budget-friendly alternatives like Pirkka, Xtra and Coop. While the aim is to strengthen the bargaining power of independent food producers, critics warn it could drive up prices for households already feeling the squeeze. Private label products offer consumers reliable, lower-cost options. Reducing their presence, the government argues, would give smaller producers more room to negotiate fair prices and improve market competition. Consumer advocates, however, caution that the timing could worsen Finland's cost-of-living pressures. ""About one in four Finns are in economic distress,"" said Juha Beurling-Pomoell, who heads the Finnish Consumers' Union. He pointed out that over the past six years, food prices have risen around 25 percent. ""If the government wants us to pay more for food, what is enough? Nobody would have believed six or seven years ago that food prices would go up 20-25 percent. They would have said 'you're out of your mind', but now that's the situation,"" Beurling-Pomoell added. The move is also politically sensitive, coming just a year before the next general election. History shows that spikes in essential prices can have immediate political consequences. The All Points North podcast stepped inside Finland's only corn tortilla factory to explore how products win shelf space — and unpack the bigger political and economic stakes behind the humble store brand. Finland's grocery market is highly concentrated, dominated by the S Group and Kesko, which together control roughly 80 percent of retail sales. With only a few major buyers, raising concerns can feel risky. This legislation is an attempt to address that, but it's not a simple win for agricultural producers. Kimmo Tammi, a legal adviser for the farmers' lobby MTK, noted that the concentration leaves smaller suppliers vulnerable to unfair practices and reluctant to report abuses for fear of losing market share. ""Finnish farmers are struggling,"" Tammi said. ""If there are only two to three buyers, it's really difficult to bring up unfair practices."" Consumer market expert Mika Yrjölä of Tampere University meanwhile said that private labels, once considered low-quality budget options, are now trusted by Finnish shoppers for value. ""The private label phenomenon has had a great success in Finland, and this is kind of the pushback you get from farmers and other food suppliers in the food value chain. If you think back to 20 years ago, private label products were mainly seen as low-quality items, and now we have a huge variety of different kinds of private label products,"" he explained. Restricting store brands could spark resistance, especially now, as more households have fallen on hard times, with Finland having the worst unemployment rate in the EU. While the move to cap the share of private label products is written into the government's programme, the timing could be difficult. ""Maybe it's just poor timing and an inability to kind of read the room,"" Yrjölä said. Beyond the economics, the debate touches food producers like Ivan Chavez, founder of Don Tortilla, Finland's first corn tortilla factory. Chavez has spent nearly a decade navigating the Finnish market, building relationships with major retailers to secure shelf space for his niche product. ""Getting customers in the beginning was a roller coaster,"" Chavez explained. ""Now it's much easier, but you still have to handle everything yourself — from production to sales to bureaucracy."" As policymakers weigh the balance between producer rights and consumer costs, the impact could be felt every time shoppers push a cart through supermarket aisles. The bill amending the Food Market Act is expected to reach parliament at the end of February, with changes potentially coming into effect by summer. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210535,2.5555555555555554,1
2026-02-13 16:09:30,All Points North,APN Podcast: Who pays at the checkout?,"Finland wants to curb supermarket store brands to give farmers more power,  but could the move leave shoppers paying more for less? Food prices in Finland have already climbed by as much as 25 percent in recent years, and now the government is proposing to limit the dominance of supermarket private labels like Pirkka and Xtra, which offer budget-friendly alternatives. The aim is to strengthen farmers' bargaining power in a highly concentrated retail market. But critics warn the move could push prices even higher and shrink affordable options at a time when many households are already struggling. In this episode of the All Points North podcast, we step inside Finland's only corn tortilla factory to explore how products win shelf space — and unpack the bigger political and economic stakes behind the humble store brand. With consumers, farmers and retailers all feeling the pressure, will limiting supermarket power protect producers, or punish shoppers? Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. Zena Iovino produced and presented this episode of All Points North. The sound engineer was Matias Puumala. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210203,2.75,1
2026-02-17 09:38:24,All Points North,"Tuesday's papers: The cost of convenience, unvisited America, and fossil fans","A now-bankrupt pizza chain says it struggled to give up a third of the pie. With Foodora exiting Finland and Uber Eats entering the market, Helsingin Sanomat explores the platform delivery business from a restaurant's perspective. Restaurants' mounting distress is being driven by a slump in consumer spending and the growing popularity of home delivery services, according to Jon Niklas Knut Engblom, a co-owner of the now-bankrupt Guido's Pizza in Kauniainen and Tapiola. HS reports that delivery platforms such as Wolt charge commissions of around a third of the price of each order, a burden for smaller operators, according to entrepreneurs. At the same time, restaurateurs are reluctant to abandon these types of platforms, as they have become an indispensable source of revenue. Engblom told the paper the fundamental problem with relying on Wolt is that it is ""incredibly expensive"" for restaurants. Guido's restaurants paid the platform commissions amounting to roughly a third of each order's price. These are sums that, Engblom said, ran into tens of thousands of euros annually. Hufvudstadsbladet explores Finns' cooling appetite for travel to the United States. The number of Finnish travellers fell by nearly nine percent in 2025 compared with the previous year. Tourism researcher Antti Honkanen suggested that, in light of tensions involving Greenland, the decline may deepen further this year, particularly among Danes. Tighter scrutiny by American border officials, including checks of travellers' social media activity, is also unlikely to improve sentiment. ""Some say it is still merely a threat. Others claim it has begun in earnest. Personally, I would be reluctant to hand over my accounts, even though I have nothing to hide,"" he told HBL. A story about diesel-powered cars' appeal is Kauppalehti's most popular story on Tuesday morning. Car manufacturing giant Stellantis is bringing diesel models back into its lineup, arguing that demand for the fuel has not disappeared. Its brands include Chrysler, Dodge, Jeep and Ram. According to Stellantis, there is a persistent market for diesel-powered vehicles, despite the industry's broader shift towards electric ones. The European-American carmaker had previously set itself a target of selling only fully electric vehicles in Europe by 2030, with electric models accounting for half of its sales in the US. According to the business daily, the shift is due to Chinese manufacturers not really competing in the diesel segment. In many European markets, diesel vehicles also remain cheaper than their fully electric counterparts. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210696,2.1666666666666665,1
2026-02-16 12:45:03,All Points North,"Finland's employee numbers have declined for 2.5 years, business index finds","The only region where employee numbers grew was in Western Finland, increasing by 0.5 percent. The number of employees at Finland's companies has steadily declined for the past two and a half years, according to a business cycle index by the pension firm Ilmarinen. The index found that in January the number of employees had decreased by 0.6 percent, compared to the same month last year. In December, employee numbers shrank by 0.5 percent compared to the same month in 2024. The biggest growth in employees was seen in the transportation sector, with two percent growth. The largest employee number declines were seen in social and health care services, construction, as well as the communications and IT sectors. ""Unfortunately, the downward spiral in the number of employees in our index has now reached the two and a half year mark. However, I believe that by spring we will see positive growth,"" Ilmarinen researcher Jouni Vatanen said in a press release on Monday. He added that there were positive prospects in January, for example, in Western Finland, which regionally performed the best in the country last year. According to the index, the only region where employee numbers grew was in Western Finland, increasing by 0.5 percent. Ilmarinen's business cycle index measures the developments of more than 50,000 firms and entrepreneurs that employ more than half a million people. It has published the index since 2013. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210553,2.25,1
2026-02-17 12:38:08,All Points North,Purra wants immigrants to work for benefits,"With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. In recent days, Finance Minister Riikka Purra's (Finns) comments about tying immigrants' social benefits to free labour have been making the rounds in the Finnish media. ""In Denmark, social welfare — especially last-resort support — is tied to a 37.5-hour weekly work requirement,"" Purra told Finns Party publication Suomen Uutiset. ""The obligation applies especially to foreigners and involves simple tasks, such as cleaning or gathering twigs, which do not displace any actual jobs,"" she added. Yle political journalist Marica Paukkeri noted that Finns Party leader Purra's comments come as parties start gearing up for the next general elections, which are now a year away. Across social media, Purra's remarks have been interpreted as downplaying the work of cleaners. The criticism has been echoed by the main opposition party, the Social Democrats (SDP). According to Paukkeri, the core message of Purra's remarks — making unpaid labour a condition for receiving social benefits — should be understood primarily as a signal to her own supporters and as campaign rhetoric. That said, the government is pressing ahead with tightening social welfare rules that will affect immigrants, but the ideas suggested by Purra have not been agreed in the coalition programme. There is no consensus among the governing parties. At the same time, the parliamentary term has already reached its final stretch. Finland's Constitution is another hurdle to Purra's suggestion. Paukkeri noted that constitutionally, everyone is guaranteed a basic livelihood, and no one may be treated differently without a legitimate reason, including one based on origin or language. This spring, the government is expected to present parliament with proposals to restrict children's home care allowances for immigrants living in the country for fewer than three years, and to introduce a language supplement within integration support. ""It is clear that in the coming months, representatives of the governing parties — including ministers — are likely to make statements that reflect not the government's collective intent, but rather the individual priorities of their parties,"" Paukkeri said in her analysis of the situation. Generally, a government's term unfolds with the most difficult decisions tackled early on, clearing the way for the remainder of the parliamentary period. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210771,2.6666666666666665,1
2026-02-16 14:51:46,All Points North,"Librarian finds €2,000 in returned book","Someone returned a book in Espoo with twenty 100-euro notes tucked between the pages. When sorting books at Espoo's Sello library, Olli Myyrä discovered 2,000 euros in cash hidden between the pages of a returned book. The incident took place in April last year. Myyrä said he had been going through books returned the previous day, a routine check to assess their condition before shelving them or sending them on to another library. Inside a non-fiction book, he found 100-euro notes tucked between the pages. He counted twenty in total. After realising what he had found, Myyrä said he went to work tracking down the last person who had borrowed the book. Library staff can access records of the two most recent borrowers, so they contacted the last person who had checked the book out. The borrower was asked whether anything might have been left between the pages — and, if so, what it could be. ""The patron was quite surprised when I called,"" laughed Myyrä. The borrower was able to give a credible account of what had been lost and was asked to come to the library with identification. ""The customer came quite quickly to collect the money,"" said Myyrä's colleague Antero Pertamo. The book containing the cash sat unsorted on a return shelf overnight after being dropped off shortly before closing. This means another customer could easily have borrowed it, according to Myyrä. Why the money was tucked inside the book remains unclear. Was it simply used as a bookmark? For privacy reasons, the librarians would not reveal the explanation, even though the customer told them. ""But it wasn't there as a bookmark — it was there for another reason. That much I can reveal,"" Myyrä said. This was not the first time cash has been found inside books at the Sello library, though such large sums are rare. ""That said, we can't be sure we've found all the money. Some books with cash in them may have been checked out by the next patron,"" Myyrä added. In such cases, the return of the money would depend on the honesty of whoever finds it. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210594,1.8,1
2026-02-17 12:38:03,All Points North,Helsinki school finds unique solution for Ramadan-fasting students,"""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. Muslims around the world started observing Ramadan this week, a period of worship, service, communal gathering and fasting. The peroid involves days of abstaining from food and drink — as well as not talking about others behind their backs, using foul language or lying. About 100 of the pupils at Eastern Helsinki's Itäkeskuksen peruskoulu, which serves pupils in grades 1-9, are followers of Islam. Those include ninth-graders Bechir Mezzi and Altin Gubetini, who say they are pleased how the school has accommodated the religous tradition. This year, Ramadan began on Tuesday, a period when adherents are not supposed to eat or drink between sunrise and sunset. School staff had noticed that fasting students had been joining their classmates in the cafeteria at lunchtime — but they wouldn't eat, according to principal Jutta-Riina Karhunen. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" she explained. So staff set up an area for the fasting youths in the school's lower lobby, away from the lunchroom. Because classes eat lunch on a rotating basis, a maximum of 40 students can gather there at a time. Overall, Itäkeskuksen peruskoulu has around 160 middle school students. ""We read books there, talk, and have fun,"" Mezzi explained. However, the City of Helsinki does not recommend fasting for primary school children, and the Itäkeskus school follows those guidelines. ""We hope that elementary school pupils would not fast at school yet, but instead practice fasting on weekends and days off,"" Karhunen said. According to her, fasting at school tires out younger kids, but by the time they're in middle school, the ritual has already become an important part of their religious lives. ""[Fasting during Ramadan] is such a big part of their identity that we think it's important to facilitate it and take it into account at school,"" she said. Karhunen also approves of the other rules over Ramadan, like not being allowed to argue or fight, being expected to speak kindly to, and help others. ""As principal, this is what I encourage our community to do every day,"" she said, noting that fasting is also part of other religions, including Christianity. Ninth-graders Mezzi and Gubetini told Yle that they began practicing fasting at home on weekends, for a couple hours at a time, at first. Mezzi was seven years old when his father said he could begin fasting during Ramadan. ""Dad told me that it is part of our religion and Ramadan is our holy month,"" Mezzi said. Both Mezzi and Gubetini began fasting at school after reaching the seventh grade. ""Little by little, I learned, and now I can fast all day long,"" Mezzi said. However, the ninth graders do not recommend fasting at school for elementary pupils. ""It is very important for us that the principal took us into consideration,"" Gubetini said. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210767,2.857142857142857,1
2026-02-16 16:26:11,All Points North,Rovaniemi chosen as site for Nato's Forward Land Forces HQ,"Once established, the Multinational Staff Element will become Nato's Forward Land Forces' permanent presence in the region. Defence Minister Antti Häkkänen (NCP) has chosen Finnish Lapland's capital of Rovaniemi as the location of Nato's Forward Land Forces (FLF) headquarters, according to a ministry press release on Monday. Once established, the FLF's Multinational Staff Element (MNSE), will become a permanent presence in Northern Finland, Häkkänen said in the release. ""The focus of FLF Finland’s battlegroup activities will be in Northern Finland and, largely supported by Rovaniemi and Sodankylä. Considering the synergies and the ability to support the activities, Rovaniemi is the best location for a permanent FLF Staff Element in Finland,"" he said in the release. According to the defence ministry, the structure of the MNSE will evolve in coming years. ""The peacetime strength of the MNSE will reach the same level as the Multi Corps Land Component Command in Mikkeli. This is a step towards strengthening Nato's deterrence and defence in the High North and the Arctic region. The MNSE should eventually have a few dozen employees. Together with the Allies contributing to FLF Finland, we are enhancing readiness across the Alliance and building even better interoperability,"" Häkkänen said. The FLF are part of the defence alliance's peacetime activities, the ministry explained. Under normal circumstances, they train and exercise with national defence forces. According to the ministry, troops will be in Finland for exercises as well as when the security situation requires. ""The FLF are part of Nato’s operations planning. Should the security situation change, the FLF presence could be scaled up to brigade size. Allies also exercise their ability to increase the land forces in peacetime,"" the ministry's release read. Around half of the tasks at the multinational headquarters will be carried out by Finnish and Swedish personnel, while the other half will be done by other Nato countries. According to Heikki Autto, a National Coalition Party MP from Lapland and chair of the parliamentary defense committee, the headquarters will be located in Rovaniemi's garrison area — and planning can start now. Rovaniemi's mayor, Ulla-Kirsikka Vainio, said she was pleased to hear about the decision, noting the city has been waiting a long time for the news. She said the city is prepared to welcome international troops and their family members. As an example, Rovaniemi offers English-language primary and upper-secondary education programmes — as well as daycare services. Vainio said she thinks that the city can also provide jobs for Nato personnel members' spouses. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210621,3.8333333333333335,1
2026-02-16 11:44:18,All Points North,"'Drawing lessons from Ukraine', Finland's 112 app could get airborne threat alerts","The effort has received funding from the EU. The Ministry of the Interior wants to give the Emergency Response Centre Agency's 112 Suomi smartphone app the ability to issue alerts about airborne threats. ""Finland is drawing on lessons learned from Ukraine in its development work, while also offering its strong civil defence expertise to Ukraine. This work has shown that Finland needs a more multi-channel warning system. In Ukraine, various mobile apps have been utilised, for example, to warn the population,"" the ministry explained in a press release. In Finland, issuing public warnings about airborne threats falls under the purview of rescue authorities. In recent years, in collaboration with the Finnish Air Force, the ministry said it has led the development of the warning system for those kinds of threats. The Emergency Response Centre agency debuted the 112 Suomi app about six years ago. It currently has around two million active users, ""and it is already used for different kinds of emergency warnings as well as other official communications"", the ministry said. The app's development project, which is scheduled to continue until the end of 2027, has received funding from the EU's 'Technical Assistance for Disaster Risk Management' funding instrument. ""Finland has a long tradition of preparedness, and its development and maintenance are part of normal security work. Finland is not currently facing a military threat,"" the ministry noted. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210534,3.5,1
2026-02-16 10:38:08,All Points North,Valtonen to Israeli FM: Finland supports two-state solution,"""I reaffirmed Finland's support for regional stability and securing a path towards the two-state solution,"" Foreign Minister Elina Valtonen (NCP) said. Following a meeting with her Israeli counterpart, Finnish Minister for Foreign Affairs Elina Valtonen (NCP) reaffirmed Finland's support for stability in Gaza and the West Bank and ""securing a path towards a two-state solution"". Valtonen made the comments in a post on X on Sunday, after meeting with Israel's Foreign Minister, Gideon Sa'ar, in Jerusalem. ""We discussed our bilateral relations based on decades of exchanges at all levels, from decision-makers to citizens. We also discussed regional security, Gaza and the West Bank,"" Valtonen said in the post. ""I emphasized the urgent needs of the civilian population in Gaza and the importance of unhindered access of humanitarian aid. I reaffirmed Finland's support for regional stability and securing a path towards the two-state solution,"" Valtonen continued. At least 11 people died in Israeli strikes on Gaza on Saturday night, according to Reuters, among other news outlets. Valtonen's visit to Israel and the occupied Palestinian territory is set to continue on Monday. ""Finland's long-term policy is to support a two-state solution to achieve a lasting and peaceful solution between Israel and the Palestinians. The discussions in Israel and the Occupied Palestinian territory will support this goal and strengthen our bilateral dialogue with both Israel and the Palestinian Authority,"" Valtonen said in a press release on Sunday. She is scheduled to meet with Israeli President Isaac Herzog in Jerusalem and Palestinian Authority Prime Minister Mohammad Mustafa in Ramallah. Valtonen is also to meet members of Palestinian civil society and visit the World Holocaust Remembrance Center, Vad Vashem. With election season approaching, Yle's political correspondent Marica Paukkeri says politicians' statements should be treated with caution. ""We noticed that the fasting middle school students didn't enjoy sitting in the cafeteria with all the food, drinks and smells there,"" the principal explained. A now-bankrupt pizza chain says it struggled to give up a third of the pie.",https://yle.fi/a/74-20210508,3.2,1
