Time,Category,Headline,Full_Text,URL
22.1.,Energy,Renewables surpass nuclear as Finland's biggest power source,"Total electricity consumption in Finland grew moderately last year, with an increasing share of it generated by wind power. According to the Finnish energy industry association, Finland consumed 85 terawatt hours (TWh) of electricity last year, with imports accounting for less than 6 TWh. Finland enjoyed Europe's third-cheapest electricity prices in 2025, with negligible production from traditional fossil fuel sources. Approximately 28 percent of domestic electricity production came from wind power. By far the largest production area for wind power is North Ostrobothnia, which includes Oulu. The region boasts more than a third of the country’s wind power capacity. North Ostrobothnia is also a major producer of hydropower, with several large plants on the Oulu and Ii rivers. North Ostrobothnia also has large solar power plants, with more planned. Wind power’s share of Finnish electricity production has climbed by nearly 10 percentage points over the past two years. In 2023, it was still behind hydropower, with a share of over 18 percent in Finnish electricity production. Last year wind turbines generated almost 28 percent while hydropower slipped to 16 percent as some dams were removed from some rivers. According to the Dam Removal Europe report, Finland leads Europe in river restoration. Wind power has clearly emerged as the second-largest source of electricity after nuclear power. Over the past two years, nuclear has accounted for approximately 40 percent of domestic production, much of it produced by Europe's largest reactor, Olkiluoto 3. In 2023, its share was still clearly higher than hydro and wind power together. In 2024 they were nearly on par, but last year wind and hydropower together exceeded nuclear in Finland’s electricity palette. Meanwhile, solar power is also growing, but it still only accounts for a little over one percent of Finland's electricity production. On Thursday, the energy consultancy Ember said that the EU’s electricity transition reached a turning point last year, with wind and solar generating more power than fossil fuels.",https://yle.fi/a/74-20205942
20.1.,Economy,OP Pohjola starts cashing out locked-down real estate funds,"OP Pohjola is opening two of its real estate funds for redemption, according to the Finnish financial giant. Many small-time investors have been waiting for such an announcement, as the bank had suspended investor cash-outs of real estate funds more than a year ago, due to weak sales in the sector. OP was among a number of banks that suspended redemptions of real estate funds. According to OP, it is now able to redeem the funds due to glimpses of recovery in the real estate market. OP said that its Public Services Real Estate Fund and Rental Yield Fund would be opened for redemption on Tuesday. ""We see that the real estate market situation has now stabilised to the point where we can start fund subscriptions and redemptions,"" OP said in a press release.",https://yle.fi/a/74-20205392
20.1.,Domestic news,Stockmann customer still confused about €10k charge over Christmas,"A couple of days before Christmas, Henrika Mercadante, who lives in the capital area suburb of Kauniainen, went to buy a last-minute gift at the Stockmann department store in Helsinki. However, after that holiday shopping errand, her bank account had a nearly 10,500-euro charge on it for things she did not buy — days later her bank cards stopped working entirely. The last-minute gift was a bottle of body mist for which she paid 26.50 euros. But after the purchase Mercadante noticed that half of the bottle's contents had leaked out, so she brought it back to the historic downtown store to return it. Instead of refunding the purchase, Mercadante noticed the cashier had somehow mistakenly charged her card for an entire batch of bottles — a total of €10,467.50. ""I wasn't really in the right mood at the time, but I should've thanked them for the Christmas gift,"" Mercadante quipped, according to Svenska Yle, the public broadcaster's Swedish-language news unit. The store told her that the matter would be sorted out over the holidays. But each time she checked her account, the huge charge was still there. Later, a couple of days before New Year's Eve, as she was grocery shopping she found that none of her bank cards worked anymore. When she got home, Mercadante checked her account again, seeing that her account showed a negative 8,000 euros, even though there should have been around 2,000 euros in it — and that 10,000-euro charge was the culprit. A single parent, Mercadante was planning to hold a New Year's Eve party, but she said that became challenging without access to her account. She made another trip to Stockmann, and showed staff the receipt showing the massive charge. The department store handed her a gift card and some cash to cover her New Year's party costs — yet how the mistake was made remained a mystery. Mercadante contacted her bank, Nordea, about her blocked card and was told that she needed to contact Stockmann about the charge. The mistake was remedied on 5 January, when her funds were returned. But before things were made right, Mercadante said she had to cancel a trip to Sweden with her daughter because of the situation. According to Stockmann's commercial planning and sales support unit chief, Heidi Dahlberg, the incident was a question of human error. She said there were errors made by both Stockmann and its payment intermediary which led to the large sum being deducted from the customer's account, rather than refunded. ""Then it was the Christmas holidays, which meant the correction took an unreasonably long time,"" Dahlberg told Svenska Yle, adding that the company has reviewed its procedures and will do the same with its partners. ""We are sincerely sorry and regret any inconvenience and concern we have caused the customer. We will do our utmost to ensure that it does not happen again,"" Dahlberg said, describing the mistakes as an unusual, one-time occurrence. ""I've never experienced anything like this. It's very important that customers can trust us in the future,"" Dahlberg said. The Finnish Financial Ombudsman Bureau (Fine) offers guidance to consumers dealing with banking problems. According to Sasu Heino, an expert at the bureau, Fine gets about 20-30 complaints about erroneous bank card charges every year. But Heino said he has never heard of a mistaken charge as large as the one Mercadante dealt with. Mercadante, meanwhile, is still waiting for an explanation from Nordea about why the huge charge was able to go through. She is particularly interested in why it happened without direct access to her bank card, and if stores are able to charge debit accounts without the use of a card reader. Her bank, Nordea, declined a request for an interview about the matter, saying that it does not comment on individual cases. However, in an email, Nordea's card payment unit business manager Paula Kvist noted that it is the seller who is responsible for refunding incorrect charges. ""If the customer's account has been overdrawn, Nordea may, according to the terms of the agreement, temporarily block card use until the amount missing from the account has been refunded,"" Kvist explained in the email. According to Nordea, card purchases in stores are immediately approved, but the actual funds are moved later. That process can take up to 10-30 days, depending on when the shop sends the debit information to the bank. That means the bank is unable to cancel erroneous debit charges by sellers, according to Nordea. Nordea said that a bank can stop payment transactions in order to ensure that customers are aware of them, if there are suspicions of fraud, for example. But the bank did not offer comment about what factors trigger such payment interruptions. Mercadante said the experience raises questions about how card payments work. ""I wasn't aware that companies could empty a customer's account like this,"" she said.",https://yle.fi/a/74-20205352
19.1.,Domestic news,Taxman takes a sip from Finland's empties,"Picking up discarded bottles and cans is a simple way to clean up the environment, and Finns are especially good at doing it. At 97 percent, the return rate of beverage packages in Finland are among the highest in the world. The reason is likely because some of the bottles have deposits worth up to 40 cents apiece. In 2024, people in Finland returned a record 2.3 billion bottles and cans for recycling, according to Suomen Palautuspakkaus (Palpa), the company that manages the country's beverage container recycling process. The trash-picking habit can also provide a modest financial reward. Containers left in the wild amount to free money for whoever retrieves them. Or so many think. Under Finnish law, however, such earnings are not beyond the reach of the taxman. Income generated from collecting bottles and cans must be reported to the tax authorities. Refundable deposits are classified as earned income, with progressive income tax rates applying. But there is a caveat, according to Petri Manninen, a senior advisor at the Finnish Tax Administration. ""Deposit refunds from bottles and cans that a person has bought themselves are not taxable,"" he told Yle News. That's because the deposit was already paid at the point of purchase. Tax is due only on refunds from containers that the collector did not originally buy. Faced with the obligation of reporting income, some might decide to ignore a discarded bottle on the ground to avoid reporting duties. Does that align with Finland's environmental aspirations? The Tax Administration's Manninen acknowledged that this was food for thought, but noted that ""we just implement tax legislation, all income is taxed, unless specifically exempted."" All income is taxed. Petri Manninen, senior advisor, Finnish Tax Administration One category that is exempt from tax is wild berries. The Tax Administration outlines that income ""earned from berries, mushrooms and other natural products you pick or collect yourself is exempt."" At the same time, there appears to be a near absence of enforcement of the bottle redemption rule. From the perspective of taxation, the sums involved are usually trivial. ""Our main focus is not on the people returning bottles,"" Manninen admitted. For that reason, Finland's tax authority has seen little justification for devoting resources to policing such earnings. That's a position the Finnish Taxpayers Association (TAF) said they can get behind. ""We surely would not oppose removing the taxation on deposit bottles,"" Janne Kalluinen, an economist at TAF said, noting that implementing tax policy always creates administrative costs for taxpayers. ""The income people get from deposits is very, very small,"" he added. To earn 100 euros, for example, one would have to collect a whopping five hundred 20-cent bottles. It's more a matter of principle. Janne Kalluinen, economist, The Finnish Taxpayers Association Ultimately, though, he said the taxation of bottle deposits is part of a bigger picture. ""It's more a matter of principle, being that all income needs to be reported, no matter how small,"" he explained. Even though annual incomes of around 10,000 euros fall below the tax threshold, bottle hunters are still required to declare such earnings on their pre-completed tax returns. Finland has used bottle return systems since 1950, when returned recycled glass bottles were washed and refilled. A system for the return of aluminium cans has been in place since 1996. On average, each resident returns about 420 beverage containers, yielding roughly 64 euros per person in deposit refunds, a sum likely too small to trouble either taxpayers or the taxman.",https://yle.fi/a/74-20204733
19.1.,Domestic news,Finnish firms quiet on latest Trump tariff threats,"Five of Finland's six biggest listed companies replied to Yle regarding US President Donald Trump's latest tariff threats. Among the Finnish firms that responded were Kone, Wärtsilä, UPM-Kymmene and Valmet, all of which count the United States as an important export market. None was prepared to speculate. Each declined to comment, citing the quiet period, a convention under which listed companies refrain from discussing financial performance, markets or prospects in the 30 days before publishing results. The American president has warned of an additional 10 percent levy on imports from eight European countries should he fail to secure Greenland, either by purchase or by force. In addition to Finland, these countries are Denmark, Sweden, Norway, Germany, France, the Netherlands and Britain. So far, the US Supreme Court has yet to rule on the legality of Trump's proposed increases in import tariffs.",https://yle.fi/a/74-20205105
18.1.,Foreign policy,"Orpo: Trump's tariff threat ""based on incorrect conclusions""","Finnish Prime Minister Petteri Orpo (NCP) said US President Donald Trump's latest tariff threat, issued on Saturday evening Finnish time, is based on incorrect conclusions. He stressed that although Finland's relations with the United States are good, some things are not tolerable. Orpo answered reporters’ questions during the first Prime Minister's interview hour programme on Sunday afternoon, broadcast live by Yle from his official residence in Helsinki’s Meilahti district. Calling the threat ""a serious matter"", Orpo said that he had been surprised by the news while cross-country skiing on Saturday evening. ""Undeniably, the atmosphere on the ski trip changed. [I had] received countless messages,"" Orpo said. Orpo declared that the EU will prevent Trump's threat from coming true through concrete actions. ""Concrete means are decisive action, clear boundaries for what is acceptable and what is not,"" he told journalists during the regular roundtable meeting. According to Orpo, communication with European colleagues is now crucial and Europe must be prepared for trade policy countermeasures if Trump carries out his threat. The premier said he hopes for a quick solution to the Greenland situation, noting that European countries now have two weeks to try to prevent Trump's tariff threat from taking effect. If no solution is reached, there is a real risk of a trade war, he added. The EU must also be prepared to respond with sufficient force to Trump's actions through trade policy. Orpo also said the government will update its foreign and security policy report. It aims to complete the work this spring so that Parliament can consider it as soon as possible. The parliamentary session formally opens on 4 February.​​​​​​​​​​​​ It is expected to end in late June.",https://yle.fi/a/74-20205013
17.1.,Domestic news,Government says it's sticking to employment goal,"Employment minister Matias Marttinen (NCP) insists that the government remains committed to its target of creating 100,000 new jobs during its term. A new government is to be formed after the April 2027 elections. Other members of his party, however, have expressed doubts about achieving the goal. Marttinen said he remains steadfast on the government's employment targets. In an interview with Yle, he said the administration intends to uphold all its objectives on labour policy. ""We will not give up. We will push reforms forward and aim to strengthen employment as much as possible before the end of the parliamentary term,"" he said. Marttinen acknowledged that the employment situation is challenging. The ministry of economic affairs and employment has begun preparatory work aimed at restoring consumer confidence. The problem, however, is that Finland's economy is underperforming, and employment is not rising at the pace the government had promised. According to the finance ministry's forecast, the number of employed is expected to return to roughly the same level by the end of the government's term as when it took office in 2023. The finance ministry has said weak domestic demand accounts for much of the economy's sluggish performance. Right now, people in Finland are choosing to sock away their money rather than spend it. ""We now need to assess whether tax measures could be used to target support for a stronger rebound in private consumption,"" Marttinen said. Restoring consumer confidence is easier said than done. According to Marttinen, there is no single silver bullet to resolve the situation. One indication of the challenge is that Finns are holding record amounts of money in bank accounts and investment funds. Marttinen said Finland's unemployment situation is particularly difficult, with the country recording the highest jobless figures in Europe, according to Eurostat data. ""The situation is tough, and there is no way around it. Long-term unemployment has risen, and the number of jobs is far from sufficient,"" he said. At the same time, Marttinen pointed to some positive signs in the economy. Both employment and total hours worked picked up towards the end of last year. The finance ministry's latest forecast, however, suggests that the government is unlikely to meet any of its economic targets.",https://yle.fi/a/74-20204894
17.1.,Economy,Prospects improve for SMEs,"Activity is picking up among Finland's small and medium-sized businesses. Growth among SMEs has accelerated, order books have strengthened, and total turnover is expected to rise by around 8 percent this year, according to state-owned investment company Tesi. Things are especially expected to improve in information and communications technology and in industry, while the construction sector is likely to expand at a more subdued pace, though the worst of the downturn is thought to be over. These forecasts have historically exhibited optimism, meaning that the adjusted growth estimate is significantly lower, Tesi noted. Around two-thirds of the SMEs surveyed describe themselves as growth-oriented or strongly growth-oriented. The survey revealed marked differences in internationalisation. Nearly 80 percent of industrial firms operate abroad or aim to do so, compared with fewer than one in five construction companies. Nearly one in five small and medium-sized enterprises reported experiencing labour shortages last year, a problem particularly pronounced in the information and communications sector. The Tesi survey drew on responses from almost 1,500 SMEs between mid-October and early January. The survey was conducted by Taloustutkimus.",https://yle.fi/a/74-20204885
16.1.,Economy,Bankruptcies in Finland hit 30-year high,"The number of bankruptcies in Finland has continued to rise for the past three years, new data shows. According to Statistics Finland, just over 3,900 companies filed for bankruptcy last year — the largest figure seen since 1996, which came after years of a serious economic crisis. Last year's bankrupt companies employed around 14,300 people. StatFin reported that 360 bankruptcy proceedings were initiated in December 2025, or 92 more than the same month the previous year — a 34 percent increase. The number-crunching agency said that the recent larger wave of bankruptcies began a few years ago. An average of 3,600 companies have filed for bankruptcy annually since 2023. The yearly average during the 2010s was around 2,700 companies. According to the agency's senior statistician, Mira Kuussaari, last year's annual bankruptcy figure has been higher just three times during the 2000s: during the global financial crisis of 2009, in 2013 and then in 2023, when the current wave of bankruptcies began. However, the number of employees affected by companies going bust suggests that it is mostly SMEs that are being affected, on average, she explained. The agency reported that the largest number of firms filing for bankruptcy were in the construction sector — a total of 768. However, according to Kuusisari, the number of construction companies filing for bankruptcy peaked in 2023. ""In practically all other sectors, the trend has been upward,"" she said in a press release.",https://yle.fi/a/74-20204686
16.1.,Media,"Friday's papers: Finnish islands' Russian vulnerability, Starbucks closing in central Helsinki, and social media's endless arguments","Finland is prepared to handle the possible appearance of Russia in its archipelago, Finnish Institute of International Affairs (FIIA) researcher Joel Linnainmäki tells Ilta-Sanomat. The tabloid noted that the Swedish defence chief Michael Claesson told a number of Finnish news outlets in a joint interview that he thinks it is possible that Russia would test Nato's mutual defence clause, Article 5, sometime in the future. Claesson said such a scenario could play out in places with relatively lower defence capabilities, like in the Baltic countries or in the archipelagos of Finland and Sweden, the paper explained, citing Helsingin Sanomat. For example, he said one possible scenario would be for Russia to station itself on a Finnish island as a symbolic show of force — to see what happens. However, according to researcher Linnainmäki, Finland has considered such scenarios, particularly before it joined Nato, as Finland and Sweden worked together on ways they can protect the semi-autonomous Åland Islands and the broader archipelago region. ""This is not new for us, but a considered existing risk that has been prepared for,"" Linnainmäki told the paper. According to Linnainmäki and the FIIA's Programme Director Harri Mikkola, a more likely scenario of Russian testing Nato would take place in Norway's remote archipelago Svalbard, which lies between Norway and the North Pole. But if Russia were to arrive in the Finnish archipelago, it would result in an immediate response from the Finnish Defence Forces, then Sweden and other close partners, according to Linnainmäki. The Seattle-based cafe chain giant Starbucks is slated to close its outlet in downtown Helsinki, adjacent to the Academic Book Store in the busy shopping area of Keskuskatu. That's according to Swedish-language daily Hufvudstadsbladet, which noted that Yle first reported the development on Thursday. In an email, Select Service Partner Finland's CEO, Elena Heiska, confirmed that Starbuck's lease agreement at the site was expiring and that it would be closing down in March. The outlet first opened in 2013. However, HBL noted that Heiska did not explain why the lease wasn't being renewed. SSP Finland operates other Starbucks in the Helsinki metropolitan area, including one kiosk at the capital's central railway station, and two others at Helsinki Airport. According to Heiska, operations at the other locations are set to continue. Helsingin Sanomat asked whether readers have noticed how easily arguments break out on social media. Psychotherapist Vesa Nevalainen told the paper that it's not just a question of getting annoyed with others' opinions, but a broader phenomenon — a general inability to think things through before reacting, the paper explained. According to the daily, the question about why that is the case led Nevalainen and his psychotherapist-psychologist colleague Satu Kaski to write a book about the topic. Nevalainen and Kaski told the paper that an emphasis on individualism and one-upmanship in the 21st century has led people to place more emphasis on their own feelings and personal rights. At the same time, they said, people's ability to concentrate has diminished — which might be why they have a tendency to be offended or hurt by others' opinions. ""People are on their mobile phones and aren't necessarily focusing on what they're doing together anymore,"" Nevalainen explained. The result, they say, is that people don't listen to each other but instead focus on their own feelings and experiences. ""The connection between other people is broken,"" Kaski told HS. As a possible remedy to the problem, Nevalainen suggests that people accept that they cannot control the opinions of others and that it's important to stop and think before reacting. They said that learning emotional skills is important for both children and adults — let the other person have their say and then follow up. Kaski said the most important thing is to keep in mind that everyone makes mistakes and that no one is perfect.",https://yle.fi/a/74-20204665
