Time,Category,Headline,Full_Text,URL,Sentiment_analysis,Passes_treshold
12:45,Domestic news,"Finland's employee numbers have declined for 2.5 years, business index finds","The number of employees at Finland's companies has steadily declined for the past two and a half years, according to a business cycle index by the pension firm Ilmarinen. The index found that in January the number of employees had decreased by 0.6 percent, compared to the same month last year. In December, employee numbers shrank by 0.5 percent compared to the same month in 2024. The biggest growth in employees was seen in the transportation sector, with two percent growth. The largest employee number declines were seen in social and health care services, construction, as well as the communications and IT sectors. ""Unfortunately, the downward spiral in the number of employees in our index has now reached the two and a half year mark. However, I believe that by spring we will see positive growth,"" Ilmarinen researcher Jouni Vatanen said in a press release on Monday. He added that there were positive prospects in January, for example, in Western Finland, which regionally performed the best in the country last year. According to the index, the only region where employee numbers grew was in Western Finland, increasing by 0.5 percent. Ilmarinen's business cycle index measures the developments of more than 50,000 firms and entrepreneurs that employ more than half a million people. It has published the index since 2013.",https://yle.fi/a/74-20210553,"[{'label': '2 stars', 'score': 0.32350438833236694}]",1
14:51,Domestic news,"Librarian finds €2,000 in returned book","When sorting books at Espoo's Sello library, Olli Myyrä discovered 2,000 euros in cash hidden between the pages of a returned book. The incident took place in April last year. Myyrä said he had been going through books returned the previous day, a routine check to assess their condition before shelving them or sending them on to another library. Inside a non-fiction book, he found 100-euro notes tucked between the pages. He counted twenty in total. After realising what he had found, Myyrä said he went to work tracking down the last person who had borrowed the book. Library staff can access records of the two most recent borrowers, so they contacted the last person who had checked the book out. The borrower was asked whether anything might have been left between the pages — and, if so, what it could be. ""The patron was quite surprised when I called,"" laughed Myyrä. The borrower was able to give a credible account of what had been lost and was asked to come to the library with identification. ""The customer came quite quickly to collect the money,"" said Myyrä's colleague Antero Pertamo. The book containing the cash sat unsorted on a return shelf overnight after being dropped off shortly before closing. This means another customer could easily have borrowed it, according to Myyrä. Why the money was tucked inside the book remains unclear. Was it simply used as a bookmark? For privacy reasons, the librarians would not reveal the explanation, even though the customer told them. ""But it wasn't there as a bookmark — it was there for another reason. That much I can reveal,"" Myyrä said. This was not the first time cash has been found inside books at the Sello library, though such large sums are rare. ""That said, we can't be sure we've found all the money. Some books with cash in them may have been checked out by the next patron,"" Myyrä added. In such cases, the return of the money would depend on the honesty of whoever finds it.",https://yle.fi/a/74-20210594,"[{'label': '1 star', 'score': 0.2604392468929291}]",1
15.2. 14:10,Domestic news,"Uber Eats coming to Finland this year, Financial Times reports","The US food delivery firm Uber Eats is expanding its operations in Europe, which include plans to enter the Finnish market. According to the Financial Times newspaper, the company will launch its service in seven European countries, including Finland, during this year. The delivery giant estimates that the expansion will lead to an additional one billion dollars in sales over the next three years. Spokesperson Susan Anderson told the FT that the company is relishing entering markets where established competitors are already present. ""We think it’s time to raise the bar, shake things up, and offer better value for money across the entire industry,"" Anderson said. The news of Uber Eats' intentions comes in the wake of Foodora announcing plans to wind down its operations in Finland, saying it will instead focus on countries where it can become the market leader. Finnish firm Wolt controls the lion's share of the delivery market in Finland. Uber Eats meanwhile has grown to become one of the largest food delivery services in the world since it was launched by ride-hailing company Uber in 2014.",https://yle.fi/a/74-20210427,"[{'label': '2 stars', 'score': 0.2987811863422394}]",1
9:34,Domestic news,"Monday's papers: Pensions blow, losing investments, and winter wonder","Private pension policies were particularly popular in Finland in the 1990s as a supplement to statutory pensions. At their peak, some 700,000 Finns held such policies, according to Finance Finland. A series of legislative changes since the early 2000s has gradually eroded the appeal of voluntary pension insurance, reports Hufvudstadsbladet. Today, that number has fallen to around 400,000. The reason is a series of legal changes over the past two decades that have gradually made the financial product less attractive. From the start of 2027, it will become even less appealing. Until now, policyholders have been able to deduct annual contributions of up to 5,000 euros. The financial services lobby warns that the planned removal of tax incentives next year may prove to be the final blow. Just a few years ago, Finnish newspapers were full of upbeat stories about enthusiastic property investors, says Helsingin Sanomat. Today, things are different. HS asked readers to share their experiences of buying an investment property. One respondent was 36-year-old Pekka Astala, who lives in Vantaa's Tikkurila district. In 2018, he bought a two-room apartment there for 187,000 euros. He now estimates its value has fallen to around 160,000 euros. Eight years later, he says he considers the apartment a poor investment for small-scale investors like him, since it is not easily converted into cash. Had he had a crystal ball, Astala says he would have sold the apartment in 2022, when the housing market was still in better shape. Yle News' All Points North podcast asked if it's time to rent or buy after years of falling housing prices in Finland. The coming week looks good for getting outdoors, reports Maaseudun Tulevaisuus, citing the Finnish Meteorological Institute (FMI). Temperatures across the country will stay below zero, from a few degrees below freezing in the southwest to around -15 degrees Celsius in Lapland. It may feel colder at times because of the wind. There should be some sunshine here and there each day, although it will be fairly cloudy overall. Light snowfall is expected in many places, but nothing too heavy.",https://yle.fi/a/74-20210481,"[{'label': '2 stars', 'score': 0.3490280508995056}]",1
16:26,Foreign policy,Rovaniemi chosen as site for Nato's Forward Land Forces HQ,"Defence Minister Antti Häkkänen (NCP) has chosen Finnish Lapland's capital of Rovaniemi as the location of Nato's Forward Land Forces (FLF) headquarters, according to a ministry press release on Monday. Once established, the FLF's Multinational Staff Element (MNSE), will become a permanent presence in Northern Finland, Häkkänen said in the release. ""The focus of FLF Finland’s battlegroup activities will be in Northern Finland and, largely supported by Rovaniemi and Sodankylä. Considering the synergies and the ability to support the activities, Rovaniemi is the best location for a permanent FLF Staff Element in Finland,"" he said in the release. According to the defence ministry, the structure of the MNSE will evolve in coming years. ""The peacetime strength of the MNSE will reach the same level as the Multi Corps Land Component Command in Mikkeli. This is a step towards strengthening Nato's deterrence and defence in the High North and the Arctic region. The MNSE should eventually have a few dozen employees. Together with the Allies contributing to FLF Finland, we are enhancing readiness across the Alliance and building even better interoperability,"" Häkkänen said. The FLF are part of the defence alliance's peacetime activities, the ministry explained. Under normal circumstances, they train and exercise with national defence forces. According to the ministry, troops will be in Finland for exercises as well as when the security situation requires. ""The FLF are part of Nato’s operations planning. Should the security situation change, the FLF presence could be scaled up to brigade size. Allies also exercise their ability to increase the land forces in peacetime,"" the ministry's release read. Around half of the tasks at the multinational headquarters will be carried out by Finnish and Swedish personnel, while the other half will be done by other Nato countries. According to Heikki Autto, a National Coalition Party MP from Lapland and chair of the parliamentary defense committee, the headquarters will be located in Rovaniemi's garrison area — and planning can start now. Rovaniemi's mayor, Ulla-Kirsikka Vainio, said she was pleased to hear about the decision, noting the city has been waiting a long time for the news. She said the city is prepared to welcome international troops and their family members. As an example, Rovaniemi offers English-language primary and upper-secondary education programmes — as well as daycare services. Vainio said she thinks that the city can also provide jobs for Nato personnel members' spouses.",https://yle.fi/a/74-20210621,"[{'label': '2 stars', 'score': 0.3490280508995056}]",1
16:26,Foreign policy,"""What is enough?"" — Rising food prices loom as Finland moves to curb supermarket private labels","People in Finland may soon feel the pinch at the grocery checkout. The government is proposing legislation that would limit the sale and production of supermarket own-brand products. These are popular budget-friendly alternatives like Pirkka, Xtra and Coop. While the aim is to strengthen the bargaining power of independent food producers, critics warn it could drive up prices for households already feeling the squeeze. Private label products offer consumers reliable, lower-cost options. Reducing their presence, the government argues, would give smaller producers more room to negotiate fair prices and improve market competition. Consumer advocates, however, caution that the timing could worsen Finland's cost-of-living pressures. ""About one in four Finns are in economic distress,"" said Juha Beurling-Pomoell, who heads the Finnish Consumers' Union. He pointed out that over the past six years, food prices have risen around 25 percent. ""If the government wants us to pay more for food, what is enough? Nobody would have believed six or seven years ago that food prices would go up 20-25 percent. They would have said 'you're out of your mind', but now that's the situation,"" Beurling-Pomoell added. The move is also politically sensitive, coming just a year before the next general election. History shows that spikes in essential prices can have immediate political consequences. The All Points North podcast stepped inside Finland's only corn tortilla factory to explore how products win shelf space — and unpack the bigger political and economic stakes behind the humble store brand. Finland's grocery market is highly concentrated, dominated by the S Group and Kesko, which together control roughly 80 percent of retail sales. With only a few major buyers, raising concerns can feel risky. This legislation is an attempt to address that, but it's not a simple win for agricultural producers. Kimmo Tammi, a legal adviser for the farmers' lobby MTK, noted that the concentration leaves smaller suppliers vulnerable to unfair practices and reluctant to report abuses for fear of losing market share. ""Finnish farmers are struggling,"" Tammi said. ""If there are only two to three buyers, it's really difficult to bring up unfair practices."" Consumer market expert Mika Yrjölä of Tampere University meanwhile said that private labels, once considered low-quality budget options, are now trusted by Finnish shoppers for value. ""The private label phenomenon has had a great success in Finland, and this is kind of the pushback you get from farmers and other food suppliers in the food value chain. If you think back to 20 years ago, private label products were mainly seen as low-quality items, and now we have a huge variety of different kinds of private label products,"" he explained. Restricting store brands could spark resistance, especially now, as more households have fallen on hard times, with Finland having the worst unemployment rate in the EU. While the move to cap the share of private label products is written into the government's programme, the timing could be difficult. ""Maybe it's just poor timing and an inability to kind of read the room,"" Yrjölä said. Beyond the economics, the debate touches food producers like Ivan Chavez, founder of Don Tortilla, Finland's first corn tortilla factory. Chavez has spent nearly a decade navigating the Finnish market, building relationships with major retailers to secure shelf space for his niche product. ""Getting customers in the beginning was a roller coaster,"" Chavez explained. ""Now it's much easier, but you still have to handle everything yourself — from production to sales to bureaucracy."" As policymakers weigh the balance between producer rights and consumer costs, the impact could be felt every time shoppers push a cart through supermarket aisles. The bill amending the Food Market Act is expected to reach parliament at the end of February, with changes potentially coming into effect by summer.",https://yle.fi/a/74-20210535,"[{'label': '1 star', 'score': 0.2604392468929291}]",1
16:26,Foreign policy,"'Drawing lessons from Ukraine', Finland's 112 app could get airborne threat alerts","The Ministry of the Interior wants to give the Emergency Response Centre Agency's 112 Suomi smartphone app the ability to issue alerts about airborne threats. ""Finland is drawing on lessons learned from Ukraine in its development work, while also offering its strong civil defence expertise to Ukraine. This work has shown that Finland needs a more multi-channel warning system. In Ukraine, various mobile apps have been utilised, for example, to warn the population,"" the ministry explained in a press release. In Finland, issuing public warnings about airborne threats falls under the purview of rescue authorities. In recent years, in collaboration with the Finnish Air Force, the ministry said it has led the development of the warning system for those kinds of threats. The Emergency Response Centre agency debuted the 112 Suomi app about six years ago. It currently has around two million active users, ""and it is already used for different kinds of emergency warnings as well as other official communications"", the ministry said. The app's development project, which is scheduled to continue until the end of 2027, has received funding from the EU's 'Technical Assistance for Disaster Risk Management' funding instrument. ""Finland has a long tradition of preparedness, and its development and maintenance are part of normal security work. Finland is not currently facing a military threat,"" the ministry noted.",https://yle.fi/a/74-20210534,"[{'label': '4 stars', 'score': 0.36219167709350586}]",1
16:26,Foreign policy,Valtonen to Israeli FM: Finland supports two-state solution,"Following a meeting with her Israeli counterpart, Finnish Minister for Foreign Affairs Elina Valtonen (NCP) reaffirmed Finland's support for stability in Gaza and the West Bank and ""securing a path towards a two-state solution"". Valtonen made the comments in a post on X on Sunday, after meeting with Israel's Foreign Minister, Gideon Sa'ar, in Jerusalem. ""We discussed our bilateral relations based on decades of exchanges at all levels, from decision-makers to citizens. We also discussed regional security, Gaza and the West Bank,"" Valtonen said in the post. ""I emphasized the urgent needs of the civilian population in Gaza and the importance of unhindered access of humanitarian aid. I reaffirmed Finland's support for regional stability and securing a path towards the two-state solution,"" Valtonen continued. At least 11 people died in Israeli strikes on Gaza on Saturday night, according to Reuters, among other news outlets. Valtonen's visit to Israel and the occupied Palestinian territory is set to continue on Monday. ""Finland's long-term policy is to support a two-state solution to achieve a lasting and peaceful solution between Israel and the Palestinians. The discussions in Israel and the Occupied Palestinian territory will support this goal and strengthen our bilateral dialogue with both Israel and the Palestinian Authority,"" Valtonen said in a press release on Sunday. She is scheduled to meet with Israeli President Isaac Herzog in Jerusalem and Palestinian Authority Prime Minister Mohammad Mustafa in Ramallah. Valtonen is also to meet members of Palestinian civil society and visit the World Holocaust Remembrance Center, Vad Vashem.",https://yle.fi/a/74-20210508,"[{'label': '4 stars', 'score': 0.34965962171554565}]",1
16:26,Foreign policy,"Finland's 'Granny of the Year' moved from the US for love in 1965, and stayed — ""I decided not to give up""","Georgianna ""Johanna"" McCollam Oja's life took a dramatic and very unexpected turn when her aunt and uncle asked her to introduce her friends to a lonely Finnish man they knew in 1960s West Virginia. Born in Charleston in 1941, McCollam Oja was in her early 20s and just starting out in her career as a school teacher when she first met the Finnish man in question. ""I had a brand new, nice car, a Triumph. We drove around and got to know each other. Little by little, it happened that I ended up in Finland. I didn’t have time to find a girlfriend for him — I took that place myself,"" she recalls. The couple moved to Finland in 1965, and while it was quite a culture shock for a young woman used to the bustle of a city like Charleston, McCollam Oja decided she would do her best to adapt. ""I am who I am, and I’m quite persistent,"" she says, adding that she also received the nickname ""Johanna"" shortly after arriving in Finland. And adapt she did. Because on Friday, ""Johanna"" was named Finland's 'Grandmother of the Year 2026' by Seurana, a firm that provides companionship and recreational services for elderly people across Finland. Georgianna McCollam Oja has now lived in Finland for over 60 years, and she says learning the language was the most difficult — yet most important — aspect of life here. She took language classes shortly after arriving, but found the Finnish she learned in the classroom to be almost a different language to the one she heard on the street. That's because the classes were teaching kirjakieli — the written form of the language — while she was hearing puhekieli (spoken language) everywhere else. Then one day everything suddenly clicked, she recounts. ""My husband asked another person about a wallet, ""onks tää sun"" (""is this yours""). It was like in a comic strip — bing!"" At that moment, she says, she realised that ""onks"" was ""onko"" (“is”), ""tää"" was ""tämä"" (""this""), and ""sun"" was ""sinun"" (""yours""). Once she cleared that obstacle, she was able to learn Finnish to a very high standard. Her family now consider her a model of Finnish sisu (determination in the face of adversity) — and she believes that learning Finnish required the largest amount of 'sisu'. ""Thanks to that, I am sitting here today. My best friend didn’t learn the language, so she returned to America. I decided not to give up,"" she says. Aside from learning the language, McCollam Oja says she has many cherished memories from 60 years of life in Finland. In 1980, President Urho Kekkonen invited her and her husband Pekka Oja to the Independence Day Ball at the Presidential Palace in Helsinki. Pekka Oja was at the time the future research director of the soon-to-be-founded UKK Institute. His job at the institute saw the family move from the capital region to Tampere. McCollam Oja still actively follows the news, both in Finland and in the US, and she says immigration is a topic that she takes a keen interest in. In her view, people should always have the opportunity to move from one country to another, especially — as in her case — because of love. ""When people want to be together, why shouldn’t they be? As long as they can agree on which country to settle in,"" she says. Although her own marriage later ended in divorce, the soon-to-be-85-year-old says she is very happy in Finland and doesn’t miss life in the US. But what advice does the 'Grandmother of the Year' have for the generations coming after her? ""Life is never easy. It is a rocky road that goes up and down. When the weather is good, you should enjoy it. When the weather is bad, you have to endure it,"" she says.",https://yle.fi/a/74-20210415,"[{'label': '2 stars', 'score': 0.2987811863422394}]",1
16:26,Foreign policy,FM Valtonen begins visit to Israel and the Palestinian territories,"Finland's Foreign Minister Elina Valtonen (NCP) began a two-day trip to Israel and the Palestinian territories on Sunday. Valtonen is scheduled to meet Israeli President Isaac Herzog and Minister for Foreign Affairs Gideon Sa'ar in Jerusalem, as well as Prime Minister of the Palestinian Authority Mohammad Mustafa in Ramallah. According to a press release from the foreign ministry, the discussions will focus on Finland’s bilateral relations with Israel and the Palestinian Authority as well as the Israeli-Palestinian conflict. ""Finland’s long-term policy is to support a two-state solution to achieve a lasting and peaceful solution between Israel and the Palestinians,"" Valtonen said in the press release. ""The discussions in Israel and the Palestinian territory will support this goal and strengthen our bilateral dialogue with both Israel and the Palestinian Authority."" During her visit, the minister will also meet Palestinian civil society actors and pay a visit to the World Holocaust Remembrance Center Yad Vashem. Prior to her trip, Valtonen attended the Munich Security Conference this weekend, where she was part of the Finnish delegation alongside Finnish President Alexander Stubb and Defence Minister Antti Häkkänen (NCP). After meeting with President Stubb on the sidelines of the conference, US Secretary of State Marco Rubio thanked Finland for ""pushing our Allies on defense spending commitments"" in a post on social media platform X. Valtonen had earlier welcomed Rubio's comments on the importance of the relationship between the United States and Europe, which the secretary of state made during his address to the conference on Saturday afternoon.",https://yle.fi/a/74-20210405,"[{'label': '4 stars', 'score': 0.463497519493103}]",1
