Time,Category,Headline,Full_Text,URL,Sentiment,Passes_threshold
2026-02-16 14:05:05,All Points North,"""What is enough?"" — Rising food prices loom as Finland moves to curb supermarket private labels","A bill to help food producers could drive up prices that have already surged in recent years. People in Finland may soon feel the pinch at the grocery checkout. The government is proposing legislation that would limit the sale and production of supermarket own-brand products. These are popular budget-friendly alternatives like Pirkka, Xtra and Coop. While the aim is to strengthen the bargaining power of independent food producers, critics warn it could drive up prices for households already feeling the squeeze. Private label products offer consumers reliable, lower-cost options. Reducing their presence, the government argues, would give smaller producers more room to negotiate fair prices and improve market competition. Consumer advocates, however, caution that the timing could worsen Finland's cost-of-living pressures. ""About one in four Finns are in economic distress,"" said Juha Beurling-Pomoell, who heads the Finnish Consumers' Union. He pointed out that over the past six years, food prices have risen around 25 percent. ""If the government wants us to pay more for food, what is enough? Nobody would have believed six or seven years ago that food prices would go up 20-25 percent. They would have said 'you're out of your mind', but now that's the situation,"" Beurling-Pomoell added. The move is also politically sensitive, coming just a year before the next general election. History shows that spikes in essential prices can have immediate political consequences. The All Points North podcast stepped inside Finland's only corn tortilla factory to explore how products win shelf space — and unpack the bigger political and economic stakes behind the humble store brand. Finland's grocery market is highly concentrated, dominated by the S Group and Kesko, which together control roughly 80 percent of retail sales. With only a few major buyers, raising concerns can feel risky. This legislation is an attempt to address that, but it's not a simple win for agricultural producers. Kimmo Tammi, a legal adviser for the farmers' lobby MTK, noted that the concentration leaves smaller suppliers vulnerable to unfair practices and reluctant to report abuses for fear of losing market share. ""Finnish farmers are struggling,"" Tammi said. ""If there are only two to three buyers, it's really difficult to bring up unfair practices."" Consumer market expert Mika Yrjölä of Tampere University meanwhile said that private labels, once considered low-quality budget options, are now trusted by Finnish shoppers for value. ""The private label phenomenon has had a great success in Finland, and this is kind of the pushback you get from farmers and other food suppliers in the food value chain. If you think back to 20 years ago, private label products were mainly seen as low-quality items, and now we have a huge variety of different kinds of private label products,"" he explained. Restricting store brands could spark resistance, especially now, as more households have fallen on hard times, with Finland having the worst unemployment rate in the EU. While the move to cap the share of private label products is written into the government's programme, the timing could be difficult. ""Maybe it's just poor timing and an inability to kind of read the room,"" Yrjölä said. Beyond the economics, the debate touches food producers like Ivan Chavez, founder of Don Tortilla, Finland's first corn tortilla factory. Chavez has spent nearly a decade navigating the Finnish market, building relationships with major retailers to secure shelf space for his niche product. ""Getting customers in the beginning was a roller coaster,"" Chavez explained. ""Now it's much easier, but you still have to handle everything yourself — from production to sales to bureaucracy."" As policymakers weigh the balance between producer rights and consumer costs, the impact could be felt every time shoppers push a cart through supermarket aisles. The bill amending the Food Market Act is expected to reach parliament at the end of February, with changes potentially coming into effect by summer. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20210535,3.0,1
2026-02-13 16:09:30,All Points North,APN Podcast: Who pays at the checkout?,"Finland wants to curb supermarket store brands to give farmers more power,  but could the move leave shoppers paying more for less? Food prices in Finland have already climbed by as much as 25 percent in recent years, and now the government is proposing to limit the dominance of supermarket private labels like Pirkka and Xtra, which offer budget-friendly alternatives. The aim is to strengthen farmers' bargaining power in a highly concentrated retail market. But critics warn the move could push prices even higher and shrink affordable options at a time when many households are already struggling. In this episode of the All Points North podcast, we step inside Finland's only corn tortilla factory to explore how products win shelf space — and unpack the bigger political and economic stakes behind the humble store brand. With consumers, farmers and retailers all feeling the pressure, will limiting supermarket power protect producers, or punish shoppers? Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. Zena Iovino produced and presented this episode of All Points North. The sound engineer was Matias Puumala. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20210203,3.0,1
2026-02-09 10:41:52,All Points North,APN Survey: Tell us what you think,"What would you like to hear on the All Points North podcast? Yle News' All Points North podcast has been running for nearly a decade, or over 300 episodes, and throughout that time on air our listeners have consistently proved to be our best source of inspiration and ideas. We are now working on updating and improving APN, and we would love your input on what we should do — or not do. Please share your feedback via this link to the survey. The survey takes about 5 minutes to complete and your answers will be anonymous, unless you specifically choose to leave your contact details. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20209097,3.0,1
2026-01-31 09:01:35,All Points North,"Finland looks to end ""uncontrolled human experiment"" with Australia-style ban on social media","Prime Minister Petteri Orpo (NCP), the Finnish public health authority THL and two-thirds of Finns are in favour of banning or restricting the use of social media by under-15s. Lunch break at the Finnish International School of Tampere (FISTA) is a boisterous time. The yard is filled with children — ranging from grades 1 to 9, or ages 6 to 16 — running around, shouting, playing football, shooting basketball hoops, doing what kids do. And there's not a single screen in sight. FISTA has taken advantage of the law change, brought in last August, which allows schools to restrict or completely ban the use of mobile phones during school hours. At FISTA, this means no phones at all unless specifically used for learning in the classroom. ""We've seen that cutting down on the possibilities for students to use their phones, during the breaks for instance, has spurred a lot of creativity,"" FISTA vice principal Antti Koivisto notes. ""They're more active, doing more physical things like playing games outdoors or taking part in the organised break activities or just socialising with each other."" With the smartphone restriction in schools widely considered to have been a success, Finland's government has now set its sights on social media platforms. Prime Minister Petteri Orpo (NCP) said earlier this month that he supports banning the use of social media by children under the age of 15. ""I am deeply concerned about the lack of physical activity among children and young people, and the fact that it is increasing,"" Orpo said at the time. And there is a growing groundswell of support for Finland introducing such a ban. Two-thirds of respondents to a survey published earlier this week said they back a ban on social media for under-15s. This is a near 10 percentage point jump compared to a similar survey carried out just last summer. The concerns over social media, and in particular the effects on children, have been well-documented — but Finnish researcher Silja Kosola's recent description of the phenomenon as an ""uncontrolled human experiment"" has grabbed people's attention once again. Kosola, an associate professor in adolescent medicine, has researched the impact of social media on young people, and tells Yle News that the consequences are not very well understood. ""We see a rise in self-harm and especially eating disorders. We see a big separation in the values of young girls and boys, which is also a big problem in society,"" Kosola explains. In the video below, Silja Kosola explains the detrimental effects that excessive use of social media can have on young people. She further notes that certain aspects of Finnish culture — such as the independence and freedom granted to children from a young age — have unwittingly exacerbated the ill effects of social media use. ""We have given smartphones to younger people more than anywhere else in the world. Just a couple of years ago, about 95 percent of first graders had their own smartphone, and that hasn't happened anywhere else,"" she says. Since 10 December last year, children under the age of 16 in Australia have been banned from using social media platforms such as TikTok, Snapchat, Facebook, Instagram and YouTube. Prime Minister Anthony Albanese began drafting the legislation after he received a heartfelt letter from a grieving mother who lost her 12-year-old daughter to suicide. Although Albanese has never revealed the details of the letter, he told public broadcaster ABC that it was ""obvious social media had played a key role"" in the young girl's death. The legislation aims to shift the burden away from parents and children and onto the social media companies, who face fines of up to 49.5 million Australian dollars (29 million euros) if they consistently fail to keep kids off their platforms. Clare Armstrong, ABC's chief digital political correspondent, told Yle News that the initial reaction to the roll-out has been some confusion but no little ""relief"". ""The government often talks about this law as being a tool to help parents and other institutions enforce and start conversations about tech and social media in ways that before, they couldn't,"" she says. Although it is still early days, as the ban has only been in force for about six weeks, Armstrong adds that the early indicators have been good. ABC journalist Clare Armstrong explains in the video below how children in Australia have been spending their time since the social media ban was introduced. However, she adds a note of caution to any countries — such as Finland — looking to emulate the Australian model, noting that communication is key. ""Because you can write a very good law, but if the public doesn't understand it, and if it can't be enforced at that household level easily, then it's bound to fail,"" Armstrong says. Seona Candy, an Australian living in Helsinki for over eight years, has been keenly following the events in her homeland since the social media ban came into effect in December. She has heard anecdotally that if kids find themselves blocked from one platform, they just set up an account on another, ""ones that maybe their parents don't even know exist"". ""And this is then much, much harder, because those platforms don't have parental controls, so they don't have those things already designed into them that the more mainstream platforms do,"" Candy says. Because of this issue, and others she has heard about, she warns against Finland introducing like-for-like legislation based around Australia's ""reactive, knee-jerk"" law change. ""I think the Finnish government should really invest in digital education, and digital literacy, and teach kids about digital safety. Finland is world-famous for education, and for media literacy. Play to your strengths, right?"" The All Points North podcast asked if Finland should introduce a similar ban on social media as in Australia. You can listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20207494,2.4615384615384617,1
2026-01-30 16:00:28,All Points North,APN Podcast: To ban or not to ban — Finland's social media conundrum,"The All Points North podcast visits a school, examines the research, and hears an on-the-ground report from Australia in search of answers to whether Finland should ban social media for children. There is a growing groundswell of support in Finland to bring in a ban on the use of social media platforms by children, specifically those aged under 15. The calls have increased in volume in the wake of a similar move by Australia, which last year became the first country in the world to ban kids from accessing social media. In Finland, Prime Minister Petteri Orpo (NCP) has expressed his backing for a ban, saying he is concerned in particular about the ""lack of physical activity among children and young people"". Public health authority THL has also updated its recommendations on kids' use of social media, while a poll this week found two-thirds of Finns support a ban. ""We see a rise in self-harm and especially eating disorders. We see a big separation in the values of young girls and boys, which is also a big problem in society,"" researcher Silja Kosola tells APN. We also hear from Clare Armstrong, a journalist with Australia's public service broadcaster ABC, about how the ban has been received in Australia since coming into effect on 10 December. ""This happened at the start of our summer holidays, so most Australian children have just had 6 weeks of summer holidays that coincided with the first 6 weeks of this ban, and I find it really interesting reading these stories that kids are saying, you know what, I actually read books this summer or I hung out with my friends more, or I started a hobby,"" Armstrong explains. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. In addition, we wrap up the rest of the week's news from Finland, and give listeners a tip about what to watch on Yle Areena. Ronan Browne produced and presented this episode of All Points North. The sound engineer was Joonatan Kotila. If you have any questions or want to share your thoughts, contact us via WhatsApp at +358 44 421 0909 or at yle.news@yle.fi and allpointsnorth@yle.fi. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20207418,3.8,1
2026-01-27 10:01:15,All Points North,Should Finland ban social media for kids? Tell us what you think,"The prime minister, the public health authority and two-thirds of Finns are in favour of banning or restricting the use of social media by under-15s, but what's your view? There is growing support in Finland for the introduction of an Australia-style ban on the use of social media platforms by children, specifically those aged under 15 years old. Prime Minister Petteri Orpo (NCP) expressed his backing for such a move earlier this month, public health authority THL has updated its recommendations on kids' use of social media last week, while a poll this week found two-thirds of Finns support a ban. But what do you think? Should Finland ban kids from using social media? You can send us your thoughts and comments via WhatsApp on +358 44 421 0909 or email us on allpointsnorth@yle.fi. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20206619,1.6666666666666667,1
2026-02-22 10:25:17,All Points North,Finland reaches Olympic medal target with hockey bronze,"Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics. The Finnish men's ice hockey team defeated Slovakia by a score of 6–1 in the bronze medal match at the Milan-Cortina Olympics, bringing Finland's medal tally to six. That number was the Finnish Olympic Committee's medal goal – a modest target set following the 2024 Paris summer games, when Finland for the first time ever failed to win a single medal. Finland’s northern neighbour, Norway, has won the most medals at the Italian games, scooping up 40 as of Sunday morning, 18 of them gold. Another neighbour, Sweden, has racked up 16 medals. The hockey medal is Finland's eighth in Olympic men's ice hockey, but its first medal in any men's international tournament since 2022. The Lions won gold in Beijing 2022, silver in Calgary 1988 and Turin 2006, collecting bronze medals in 1994, 1998, 2010 and 2014. This was the sixth time that NHL professionals took part in the Olympics, with Finland winning the most hockey medals at these Games, five. The Lions only went home empty-handed from the 2002 Salt Lake City Olympics. The Finnish men’s hockey team has never lost an Olympic bronze medal match. It narrowly missed a spot in this year's final, having led 2–0 in the semi-final against Canada, but falling to a 2–3 defeat in the last minute on Friday. On the final day of the Olympics, Canada and the United States play the all-North-American final, broadcast on Yle TV2 and Areena starting at 3pm Sunday. Before that, three Finns took part in the women’s 50km classic cross-country ski race. They included Kerttu Niskanen, who ended up in seventh place after winning a bronze medal at the Beijing Olympics four years ago. The closing ceremony starts at 9.30pm. 22 Feb, 1.26pm: Updated with Niskanen's ranking. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20211663,4.0,1
2026-02-20 12:11:47,All Points North,"Finnish police use new law to launch first probes into suspected FGM cases, paper says","Finland introduced a specific law banning the practice and preparation of female genital mutilation (FGM) at the beginning of last year. Police in different parts of Finland have launched separate preliminary investigations into suspected cases of female genital mutilation (FGM). The investigations are the first of their kind, according to Helsingin Sanomat, since a specific law banning the practice and preparation of FGM was introduced at the beginning of 2025. Previously, FGM was only punishable under law as assault or aggravated assault. According to Helsingin Sanomat's information, the first investigation is taking place in the Kuopio region, where police suspect the mutilation has already occurred. In a separate case, police in Tampere have investigated suspicions that a woman or girl was being prepared for an FGM procedure. Although the exact details of the case are not currently known, this could mean the victim is being forced or coerced into being mutilated, or they are being taken abroad for the purpose of having the procedure carried out. Both acts are now illegal under Finnish law. Finland's Minister of Education, Anders Adlercreutz (SPP), said earlier this year that he wants to investigate whether girls are being taken out of the country to undergo FMG procedures, and to see how common the practice might be. His comments followed an Yle investigation which uncovered evidence that some Somali parents in Finland have sent their children to disciplinary institutions in Somalia. Once there, the report revealed, they are subjected to severe treatment — including physical abuse and being locked in chains. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20211474,1.75,1
2026-02-22 12:53:42,All Points North,EV registrations up by 22%; petrol and diesel share falls,"Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. The number of new vehicle registrations in Finland has been declining year by year in the 2020s, and 2025 was another lacklustre year. Fewer than 72,000 new passenger cars were registered, three percent less than the year before. The number was the lowest figure so far in this century, Statistics Finland said on Friday. Imports of used vehicles decreased by four percent in 2025, totalling just over 41,000. The largest numbers were brought in from Sweden and Germany. Meanwhile the number of new trucks and busses on the road fell by 15 and 25 percent respectively. Last year, 37 percent of new passenger cars were fully electric cars, an increase of 22 percent from the year before. Meanwhile consumers shied away from plug-in hybrids, with new registrations slipping by two percent. Overall, the number of plug-in passenger cars rose by 12 percent from 2024. Meanwhile registrations of new petrol- and diesel-powered cars both fell by nearly one-fifth. Nearly 60 percent of all new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. The data does not include registrations in the autonomous Åland Islands. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20211713,2.0,1
2026-02-21 17:21:51,All Points North,"Police officer stabbed, suspect shot in Kalajoki","Both the police officer and the stabbing suspect have been hospitalised with serious injuries, Iltalehti reports. Police shot a knife-wielding man on Saturday morning in Kalajoki on Finland’s west coast. Officers were responding to a domestic disturbance report. When the police patrol arrived, a man in the apartment attacked one of the officers with a bladed weapon. ""Police had to use a firearm to carry out the detention,"" the National Bureau of Investigation (NBI) said in a statement on Saturday afternoon. According to the tabloid Iltalehti, both the police officer and the stabbing suspect were seriously injured in the incident and have been taken to hospital. Kalajoki is in Northern Ostrobothnia, about 130km southwest of Oulu. Detective Inspector Jarmo Katila from the Oulu NBI unit told the newspaper that according to current information, neither of their injuries were life-threatening. The middle-aged man who stabbed the officer is suspected of attempted murder. Katila declined to comment on any other possible criminal charges, or whether anyone else was present in the flat at the time. The preliminary investigation is being conducted by the Oulu branch of the NBI. ""The investigation is in its early stages and more information will be provided later,"" it said on Saturday. Because police discharged a weapon during the incident, the Prosecutor General's Office is also investigating the case. Such cases are comparatively rare in Finland. The two presidents meet ahead of a flurry of events commemorating the fourth anniversary of Russia’s full-scale invasion of Ukraine. Nearly 60 percent of all last year's new cars were rechargeable, with less than 40 percent petrol-powered and just four percent diesel-powered. Finland placed third in the men's ice hockey tournament, clinching its sixth medal at the Milan-Cortina Winter Olympics.",https://yle.fi/a/74-20211657,2.5,1
