Time,Category,Headline
14:38,Climate,Finland's ageing icebreaker fleet faces new climate challenges
11:18,Foreign policy,"Stubb: US threats over Greenland could trigger ""dangerous downward spiral"""
17.1.,Domestic news,BBC releases podcast on Vastaamo hacker
17.1.,Education,"No Finnish, no problem — Jyväskylä University launches new teacher training track"
17.1.,Domestic news,Government says it's sticking to employment goal
17.1.,Economy,Prospects improve for SMEs
16.1.,Immigration,Finland to step up post-monitoring of residence permits granted to foreign students
16.1.,Weather,"FMI issues warning of hazardous driving conditions as snowfall, freezing rain forecast"
16.1.,Crime,Three young German tourists snowshoe into Russia — get caught returning to Finland
16.1.,Domestic news,Finland revamps jobless benefits amid worst unemployment rate in EU
16.1.,Business,Bankruptcies in Finland hit 30-year high
16.1.,Sport,Tennis player Harri Heliövaara named Finland's athlete of the year
16.1.,Media,"Friday's papers: Finnish islands' Russian vulnerability, Starbucks closing in central Helsinki, and social media's endless arguments"
15.1.,Foreign policy,Finland preparing to send two liaison officers to Greenland
15.1.,Crime,"Appeal court upholds murder conviction against Tampere street shooter, but dismisses two charges"
15.1.,Foreign policy,"Greenland issue must not lead to end of Nato, former Finnish president says"
15.1.,Domestic news,"Future of Finland's iconic ""Kossu"" liquor under threat as consumer tastes change"
15.1.,Domestic news,Benefits agency Kela begins phasing out use of paper mail
15.1.,Health,Yle probe reveals huge discrepancies in pay of regional healthcare bosses
15.1.,Media,"Thursday's papers: Parliament's harassment suspicions, EU deal affects meat prices, and roads getting messy"
15.1.,Immigration,"""Deeply problematic"" — Experts slam Finland's plans for carrot-and-stick integration model"
14.1.,Entertainment,Meet the 7 acts that will go head-to-head at UMK26
14.1.,Entertainment,Watch the UMK26 artist reveal here
14.1.,Education,"HS: Children born in Finland don't belong in Finnish-as-a-second-language classes, minister says"
14.1.,Domestic news,Finnish PM floats social media ban for under-15s
14.1.,Weather,Cold eases as wet weather approaches
14.1.,Media,"Wednesday's papers: Pension woes, patient privacy and parcel pop-ups"
13.1.,Foreign policy,"Finnish foreign minister urges Iranian regime to ""immediately stop violence against its own citizens"""
13.1.,Foreign policy,"Finland's Stubb, ministers to attend World Economic Forum next week"
13.1.,Crime,Finland and Estonia step up prison cooperation
