Time,Category,Headline,url
14:31,Education,"Just one-third in Finland optimistic about children's future, survey finds",https://yle.fi/a/74-20205641
12:14,Foreign policy,Finland to take part in major Nato exercises in March,https://yle.fi/a/74-20205617
10:36,Health,Finland's mental health crisis helpline gets record number of calls,https://yle.fi/a/74-20205572
9:30,Media,"Wednesday's papers: Greenland security, US cloud over Finland, opposition's top position",https://yle.fi/a/74-20205544
20.1.,Non-Discrimination Ombudsman,Non-Discrimination Ombudsman calls for stricter penalties for intimate partner violence,https://yle.fi/a/74-20205484
20.1.,Domestic news,Finland not sending more troops to Greenland,https://yle.fi/a/74-20205400
20.1.,Economy,OP Pohjola starts cashing out locked-down real estate funds,https://yle.fi/a/74-20205392
20.1.,Domestic news,Stockmann customer still confused about €10k charge over Christmas,https://yle.fi/a/74-20205352
20.1.,Media,"Tuesday's papers: Placating Trump, living rent-free, and the end of the line",https://yle.fi/a/74-20205291
19.1.,Economy,IMF: Fixing Finland's public finances will take years,https://yle.fi/a/74-20205217
19.1.,Foreign policy,Trump invites Stubb to Gaza 'executive board',https://yle.fi/a/74-20205158
19.1.,Domestic news,Finland's housing market stirs,https://yle.fi/a/74-20205151
19.1.,Domestic news,Taxman takes a sip from Finland's empties,https://yle.fi/a/74-20204733
19.1.,Domestic news,In a hurry to catch a bus? Don't use HSL's app to buy your ticket,https://yle.fi/a/74-20205117
19.1.,Domestic news,Finnish firms quiet on latest Trump tariff threats,https://yle.fi/a/74-20205105
19.1.,Media,"Monday's papers: Finland and Greenland, Helsinki preps, and a costly cat",https://yle.fi/a/74-20205069
18.1.,Foreign policy,"Orpo: Trump's tariff threat ""based on incorrect conclusions""",https://yle.fi/a/74-20205013
18.1.,Climate,Finland's ageing icebreaker fleet faces new climate challenges,https://yle.fi/a/74-20204984
18.1.,Foreign policy,"Stubb: US threats over Greenland could trigger ""dangerous downward spiral""",https://yle.fi/a/74-20204946
17.1.,Domestic news,BBC releases podcast on Vastaamo hacker,https://yle.fi/a/74-20204930
17.1.,Education,"No Finnish, no problem — Jyväskylä University launches new teacher training track",https://yle.fi/a/74-20204904
17.1.,Domestic news,Government says it's sticking to employment goal,https://yle.fi/a/74-20204894
17.1.,Economy,Prospects improve for SMEs,https://yle.fi/a/74-20204885
16.1.,Immigration,Finland to step up post-monitoring of residence permits granted to foreign students,https://yle.fi/a/74-20204800
16.1.,Weather,"FMI issues warning of hazardous driving conditions as snowfall, freezing rain forecast",https://yle.fi/a/74-20204769
16.1.,Crime,Three young German tourists snowshoe into Russia — get caught returning to Finland,https://yle.fi/a/74-20204730
16.1.,Domestic news,Finland revamps jobless benefits amid worst unemployment rate in EU,https://yle.fi/a/74-20204721
16.1.,Business,Bankruptcies in Finland hit 30-year high,https://yle.fi/a/74-20204686
16.1.,Sport,Tennis player Harri Heliövaara named Finland's athlete of the year,https://yle.fi/a/74-20204684
16.1.,Media,"Friday's papers: Finnish islands' Russian vulnerability, Starbucks closing in central Helsinki, and social media's endless arguments",https://yle.fi/a/74-20204665
