Time,Category,Headline,url,text
17:13,Domestic news,Finland blocks 4 Russian real estate deals near Helsinki,https://yle.fi/a/74-20206259,"A law imposed last year bans real estate purchases by Russians – unless they have dual citizenship or a permanent residence permit. The Ministry of Defence has blocked four attempted real estate transactions by a Russian man in Sipoo, just east of Helsinki. The ministry made the decision on 13 January, but it was not made public until this week. The 41-year-old Russian tried to purchase three residential properties in Sipoo, and a fourth through his company registered in Vantaa. All the transactions involved the same seller. The would-be buyer lacked a permanent residence permit in Finland. A new law prohibiting real estate transactions by Russians and Belarusians came into effect last July. However Yle reported in early January that the legislative change has only slightly curbed real estate purchases by Russians in Finland. The law does not apply to dual citizens of Russia and an EU or EEA country, nor to individuals with permanent EU residence permits issued by Finland. According to statistics from the National Land Survey of Finland, Russians had bought 55 properties in Finland by the end of last November, 35 of them before the legal amendment came into force and 20 after that. Last year, the Ministry of Defence blocked real estate transactions in Sastamala (Pirkanmaa) and in Myllykoski, part of the southeastern city of Kouvola. The latter case involved a Russian-owned forest management company registered in Suonenjoki in the North Savo region. According to the tabloid Iltalehti, the company had agreed to buy the Myllykoski building in May, but did not apply for permission from the ministry until October, when the new law was already in force."
14:07,Security,"Finnish Defence Minister: Raising defence budget to 5% of GDP  ""can be done""",https://yle.fi/a/74-20206244,"Commenting on the new US defence strategy, Defence Minister Antti Häkkänen (NCP) said that Washington is still committed to Nato, but that Europe must do more to protect itself. Just hours after the Pentagon published a new US defence strategy, Finnish Minister of Defence Antti Häkkänen (NCP) appeared on Yle's Saturday-morning talk show to analyse it. Speaking the Ykkösaamu programme, Häkkänen said he believes that the United States remains committed to Nato. He said he still has faith in nuclear deterrence and Nato's Article 5, according to which an attack on one Nato country is an attack on all Nato allies. ""The language and practices of world politics have changed. It is exceptional and disturbing, but when you look at what options Europe has, there is Nato. There are no other alliances. Within Nato, the US is the most significant actor,"" he said. Under the new policy, the US is to prioritise its own security and countering China. Support for allies in Europe will be limited. Therefore European countries must strengthen their own defences. As for Finland, Häkkänen asserted that raising the defence budget to five percent of GDP would be difficult, but that ""it can be done"". Last year, it rose to 2.5 percent, and is expected to grow to at least three percent by 2029. Häkkänen admits that his perception of the US has changed. However, there are no other comparable defence partners available. Strengthening Europe's own defence will take up to a decade, he predicted. ""If Europe were to build a completely new defence capability, including a nuclear deterrent, it would cost 10 percent of GDP. These projects cost hundreds of billions of euros."" Defending the Arctic requires underwater radar and other pricey technologies. US President Donald Trump has proposed a so-called ""golden dome"" missile shield, partly based in Greenland. Cost estimates for the plan range up to 3.6 trillion dollars, with the US already allocating close to 40 billion dollars for the project since last year. The US says it will discuss Arctic threats with its allies, and aims to form a group of seven Arctic countries, to be known as the A7 – in effect, the Arctic Council without Russia. Häkkänen is sceptical as to whether Finland would be able to join other activities beyond its current obligations, but stressed that ""it’s very important for us that the Arctic region is strongly defended,"" pointing to ""little Finland’s"" 1,300 kilometre border with Russia. ""We’re just starting to consider what the role of European countries would be in [defending the Arctic],"" said Häkkänen. On Wednesday, President Alexander Stubb boasted that Finland has ""the biggest military force of Arctic capabilities"" within Nato. However, Häkkänen said that no decisions will be made yet on Finnish troops’ participation in Arctic security. Two Finnish officers have just returned from a fact-finding mission in Greenland. Häkkänen said he wants to hear their reports on possible training activities in Greenland before making any further decisions. On Ukraine, Häkkänen accused Europe of being too passive in supporting Kyiv. He noted that while EU recently approved a two-year support package for Ukraine, the problem is that Russia is still reaping income from energy sales, including to some European countries. Sanctions have failed to halt such sales, while Ukraine's plight has been overshadowed by US posturing over Greenland. ""Europe has acted strongly and significantly, but it’s been insufficient. In terms of these sanctions, Russia's energy revenues and access to electronic components have not been stopped. There’s a gap there,"" the defence minister said. As long as Russia continues to reap energy revenues, it has no desire for peace, Häkkänen argued. Early Saturday, massive Russian strikes on Kyiv and Kharkiv killed one person and injured 23 others, just as talks aimed at ending the war resumed in Abu Dhabi. Thousands of buildings remain without heating amid temperatures around -12C in Ukraine, the BBC reported."
11:01,Foreign policy,"""Relatively good"" marks for Finland's foreign policy leaders amid turbulent times",https://yle.fi/a/74-20206213,"An Ilta-Sanomat poll carried out during last week's Greenland crisis shows broad backing for the president and foreign minister – but not among supporters of the opposition Left Alliance. People in Finland are quite satisfied with the country's foreign policy leadership, according to a survey published by the tabloid Ilta-Sanomat on Saturday. Polling company Taloustutkimus asked respondents to rate the recent handling of Finland's foreign policy on a scale of 1-10 points. The average score was approximately 7.5. The survey was carried out this past Wednesday and Thursday, just as European leaders were grappling with US President Donald Trump’s military and trade threats regarding Greenland. President Alexander Stubb received a rating of 8.2 points, while Foreign Minister Elina Valtonen (NCP) received a rating of 7.6. Tuomo Turja, Research Director at Taloustutkimus, considers the rating to be good considering the circumstances. ""At the moment, the operating environment in foreign policy is quite difficult and we’re navigating atmosphere of considerable uncertainty. When we also take into account the fact that we have a moderately polarised political situation and that the government is quite unpopular, this rating is relatively good,"" he told IS. Valtonen represents Prime Minister Petteri Orpo’s National Coalition Party, which Stubb formerly led. As expected, the highest ratings in the poll came from NCP supporters, with the lowest from backers of the opposition Left Alliance. ""This clearly shows the general coolness of the Left Alliance in particular towards the United States. I suspect that the Left Alliance members are not terribly happy that Finland's foreign and security policy currently relies quite strongly on alliances with the West and especially the US, as long as Trump is still president,"" Turja said. Under the Finnish constitution, foreign policy is led by the president in co-operation with the government, but the cabinet is generally responsible for EU-related decisions. Taloustutkimus interviewed just over 1,000 people on 21–22 January. It estimates the margin of error at 3.2 percentage points."
23.1.,Politics,Social Democrat MP Kim Berg apologises for inappropriate comments,https://yle.fi/a/74-20206175,"Suspicions of harassment and inappropriate behaviour within the SDP's parliamentary group came to light when MP Ville Merinen spoke about the alleged incidents in a recent Yle documentary series. Social Democratic Party (SDP) MP Kim Berg has apologised for making inappropriate comments in front of female members of his party. ""I apologise for carelessly saying something that has offended someone who was listening. I will learn from this,"" Berg wrote in a Facebook post. Suspicions of harassment within the SDP first surfaced when Berg's party colleague Ville Merinen discussed the alleged incidents in an Yle documentary series called Vallan algoritmi (roughly translated as 'The Algorithm of Power'). Merinen said that he has not dared to reveal to the public how MPs treat their assistants. Tabloid Ilta-Sanomat reported on Thursday that four out of five harassment cases linked to the SDP parliamentary group involve current SDP Members of Parliament. Three of these cases, the paper wrote, relate to an incident at a social event held by the SDP's parliamentary group in Vantaa in the summer of 2023. According to IS, Berg asked several female staff members of the parliamentary group if they had experienced harassment and, if not, whether they would like to be harassed. In a separate Facebook post, written on Thursday, Berg said that he finds it ""truly unreasonable to be publicly accused of harassment because of one poor choice of words"". Berg also denied to the paper that he made such a remark, and he re-iterated this denial in an interview with Yle. ""The claim that I would have suggested harassment to several women at the afterparty is not true,"" Berg told Yle."
23.1.,Crime,Police find elderly man living in Helsinki basement under inhumane conditions,https://yle.fi/a/74-20206116,"Police suspect the 80-year-old had been living in the windowless cellar for 20 years. Police in Helsinki have opened a human trafficking investigation after finding an 80-year-old man living under inhumane conditions in the basement of a house in the city. After receiving a tip from a member of the public, officers searched the property, a detached house in North Helsinki, on Monday. Police said the man was found in poor physical condition and needing assistance, noting that he had been living in a windowless room with no washing, toilet or food preparation facilities. According to police, he may have been living in the basement for 20 years. Police temporarily detained two men and a woman suspected of involvement in the case. The suspects are around 60 years old and live in Helsinki, but have since been released. ""The suspects are not relatives of the victim, but they have known each other for a long time,"" lead investigator, detective inspector Jari Korkalainen said. Among other leads, police are investigating whether others who lived in the house had committed human trafficking crimes by taking advantage of the victim's vulnerability. ""We're looking into relationships between the people living in the house and other individuals, how the [victim] ended up there, and how he could have lived in such poor conditions for so long,"" Korkalainen said. Police are also investigating whether the perpetrators had carried out the crimes for financial gain. According to Korkalainen, the victim voluntarily moved into the house more than 20 years ago, but his health has since deteriorated. He said that the victim is in quite good condition now and receiving necessary care."
23.1.,Foreign policy,Yle sources: Finnish liaison officers end mission in Greenland,https://yle.fi/a/74-20206091,"Military officials from Germany and the Netherlands have also since departed Greenland. Two Finnish liaison officers have concluded their fact-finding mission in Greenland, according to information obtained by Yle. Yle's source said that the officers would be heading back to Finland by the end of this week. Finland sent the officers to Greenland last week, following a request from Denmark to carry out a multinational military mission in the region. Denmark made the move as US President Donald Trump's threats to annex Greenland continued to escalate. Apart from Finland, the countries sending military personnel to Greenland included France, Germany, Sweden, Norway, the Netherlands and the UK. The US was also invited to take part. So far, military officials from Germany and the Netherlands have since departed Greenland. Trump has repeatedly claimed the US needs to seize control of the semiautonomous island because it does not believe Denmark, which holds the territory, is capable of defending it. Denmark and Greenland began negotiations with the United States about 10 days ago, but the exact content of those talks has not been made public. As Finland announced that it was sending two officers to the region, Defence Minister Antti Häkkänen (NCP) said the move was not a message to members in the Nato military alliance, but rather a broader announcement to the world regarding European allies' commitment to security in the Arctic. The move appeared to frustrate Trump, and he threatened punitive tariffs on the participating countries. However, on Wednesday, the American president said that he was calling off the threatened tariffs. In another reversal, Trump has also said that the US will not follow through on his perceived threats that the US could take Greenland by force. After meeting with Nato's Secretary General, Mark Rutte, Trump announced on his social media channel Truth Social that he and Rutte had ""formed the framework of a future deal with respect to Greenland"" — as well as the Arctic region."
23.1.,Crime,"Thai media: 11-year-old Finnish girl held captive, tortured",https://yle.fi/a/74-20206086,"According to local news reports, two Finnish adults have been taken into police custody but their relationship with the child has not yet been officially confirmed. Authorities in Thailand, working alongside the Finnish embassy, have taken an 11-year-old Finnish girl into care in the country's Sa Kaeo province. According to a report by the Khaosod newspaper, the child contacted authorities asking for help, alleging that she had been held captive and tortured. The article states that she was held in the village of Watthana Nakhon, in the east of the country. Yle understands that the girl is currently in the care of Thai authorities but will soon be transferred to the protection of the Finnish Embassy. A spokesperson for the Finnish Ministry for Foreign Affairs told Yle that the ministry is aware of a consular case involving a child in Thailand, but declined to comment further, citing privacy concerns. Reports in Thai media suggest that a preliminary investigation into the girl's claims has uncovered evidence that two Finnish adults had overstayed their visa periods in Thailand by more than two years. According to the reports, they were both taken into police custody. The relationship between the two adults and the girl has not been officially confirmed, but Finnish media has reported they are a 55-year-old man and a 47-year-old woman. The man is understood to have an extensive criminal history in Finland, including for financial crimes. Yle has not yet been able to independently verify the information reported by Thai media outlets."
23.1.,Politics,MP Saara-Sofia Sirén leaving parliament to lead pension advocacy group,https://yle.fi/a/74-20206067,"The pension sector advocacy association Tela said its board selected Sirén for the job on Thursday. National Coalition Party MP Saara-Sofia Sirén has announced plans to step down from her post in order to take up a job leading the pension sector advocacy association Tela. The association said its board selected Sirén for the top job at a meeting on Thursday. Sirén is scheduled to begin her new post as its managing director on 1 May, but that hinges on parliament granting the MP permission to step down. While a politician's mid-term resignation from parliament is rare, the Finnish constitution allows an MP to resign if they are doing so in order to take on a socially important position. The 39-year-old Sirén was first elected as an MP in 2015. Last May she became the chair of the Grand Committee — a body that handles EU-related issues. Sirén is set to replace Tela's current managing director Suvi-Anne Siimes, a former finance minister and Left Alliance chair."
23.1.,Foreign policy,Orpo: Greenland clash left a mark on EU-US relations,https://yle.fi/a/74-20206032,"Allies should not exert pressure on each other or push for the annexation of a partner country's territory, Finland's Prime Minister told reporters in Brussels. The diplomatic row over US President Donald Trump's plans to take over Greenland has left a stain on relations between the EU and the United States, according to Finnish Prime Minister Petteri Orpo (NCP). Speaking to reporters after a meeting with other EU leaders in Brussels on Thursday, Orpo said that the extent of the damage will only be known later. He also noted that the situation has not yet been resolved, and there is no strong sense within the EU of when it will be. ""However, the most acute crisis situation has been defused,"" Orpo said, referring in particular to the possibility of a trade war between the EU and the United States. He further added that allies should not exert pressure on each other or push for the annexation of a partner country's territory. ""And also, the language used towards Europe has been quite widely noted,"" Orpo said. In a speech at the World Economic Forum (WEF) in Davos, Switzerland on Wednesday, President Trump said that Europe is ""not heading in the right direction"" and that many countries are unrecognisable from before, referring to European immigration policies. Trump also alleged that issues like immigration and the so-called green transition — meaning a shift towards investment in sustainable energy — have hampered Europe's development. Separately, Ukrainian President Volodymyr Zelensky has announced that PM Orpo will be awarded one of Ukraine's highest state honours — the 2nd Class Order of Prince Yaroslav the Wise. The honour is being bestowed on Orpo for his work in strengthening cooperation between Finland and Ukraine, Zelensky said, as well as for the premier's continued support of Ukraine. Finland's former prime minister Sanna Marin also received an honour from Ukraine — in her case, the 1st Class Order of Princess Olga — in recognition of her support for Ukraine's sovereignty and territorial integrity."
23.1.,Culture,Helsinki sends personal message to Pamela Anderson via €100k marketing campaign,https://yle.fi/a/74-20206021,"The Hollywood star spoke last year about her Finnish roots and her desire to change her surname to that of her grandfather, Herman Hyytiäinen. The City of Helsinki has sent a personal, open invitation to Canadian-American actress Pamela Anderson via the medium of a short film. The idea behind the video, which has been widely shared on social media over the past few days, stems from the Baywatch star's stated desire to change her surname to that of her grandfather, Herman Hyytiäinen. Anderson revealed her intention in an interview with Vogue Scandinavia at the end of last year, when she spoke about the importance of her relationship with her grandfather and the ""magical language that no one else could understand"" — Finnish — she believed as a child they shared. ""He was the closest person to me in my life,"" she told the magazine. The City of Helsinki's film features the Finnish actor Janne Hyytiäinen — potentially a ""long lost cousin"", according to the City — inviting Anderson to visit the Finnish capital and discover more about her roots. He explains that, according to Finnish law, there are three ways she could go about officially changing her name to Hyytiäinen: marriage, adoption or citizenship. The short film, titled ""Operation: Make Pamela a Hyytiäinen"", is a tongue-in-cheek marketing campaign that promotes Helsinki as a place to visit — and also includes a tourism guide called ""24 hours in Helsinki as Pamela Hyytiäinen"". The campaign was planned and executed by Helsinki Partners, a company owned by the city and tasked with attracting international visitors, talent, and investments to the capital. According to the City's information, the costs for ""Operation: Make Pamela a Hyytiäinen"" are about 110,000 euros — 60,000 euros in production costs and 50,000 for marketing and social media. A spokesperson for the City said they have been happy with the campaign's reach during its first few days, with about half a million views already registered as the video has also garnered a good deal of buzz abroad. ""There have been about 158 mentions in international media at this stage,"" Helsinki Partners' brand and PR director Soila Lehkonen said. Although the campaign invites Pamela Anderson to visit Helsinki, her roots are not in the capital but in Saarijärvi, a village of about 8,000 inhabitants some 60 kilometres northwest of the city of Jyväskylä. ""Helsinki is a natural place to start a visit and to get to know Finland,"" Lehkonen said. However, as of the time of writing, Anderson has yet to respond to the invitation."
